id,original,surface,pronunciation,type,field,era,birth_year,death_year,nobel,gender,country,status,description,image,image_page
16,セシル・パウエル,セシル・パウエル,セシル・パウエル,full,物理,現代,1903,1969,yes,男性,イギリス,物故,1950年、写真による原子核崩壊過程の研究方法の開発および諸中間子の発見によりノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Cecil%20Powell.jpg,https://commons.wikimedia.org/wiki/File:Cecil_Powell.jpg
17,フェリックス・ブロッホ,ブロッホ,ブロッホ,family,物理,現代,1905,1983,yes,男性,アメリカ合衆国/スイス,物故,核磁気精密測定の新手法を開発した功績で、1952年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/ETH-BIB-Bloch%2C%20Felix%20%281905-1983%29-Portr%2003540.tif,https://commons.wikimedia.org/wiki/File:ETH-BIB-Bloch%2C_Felix_%281905-1983%29-Portr_03540.tif
17,フェリックス・ブロッホ,フェリックス・ブロッホ,フェリックス・ブロッホ,full,物理,現代,1905,1983,yes,男性,アメリカ合衆国/スイス,物故,核磁気精密測定の新手法を開発した功績で、1952年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/ETH-BIB-Bloch%2C%20Felix%20%281905-1983%29-Portr%2003540.tif,https://commons.wikimedia.org/wiki/File:ETH-BIB-Bloch%2C_Felix_%281905-1983%29-Portr_03540.tif
18,ヴァルター・ボーテ,ボーテ,ボーテ,family,物理/化学/数学,近代,1891,1957,yes,男性,ドイツ,物故,放射線計測の同時計数法とそれによる発見で、1954年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Bothe.jpg,https://commons.wikimedia.org/wiki/File:Bothe.jpg
18,ヴァルター・ボーテ,ヴァルター・ボーテ,ヴァルター・ボーテ,full,物理/化学/数学,近代,1891,1957,yes,男性,ドイツ,物故,放射線計測の同時計数法とそれによる発見で、1954年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Bothe.jpg,https://commons.wikimedia.org/wiki/File:Bothe.jpg
19,ウィリス・ラム,ラム,ラム,family,物理,現代,1913,2008,yes,男性,アメリカ合衆国,物故,水素スペクトルの微細構造に関する研究により1955年にノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Willis%20Lamb%201955.jpg,https://commons.wikimedia.org/wiki/File:Willis_Lamb_1955.jpg
19,ウィリス・ラム,ウィリス・ラム,ウィリス・ラム,full,物理,現代,1913,2008,yes,男性,アメリカ合衆国,物故,水素スペクトルの微細構造に関する研究により1955年にノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Willis%20Lamb%201955.jpg,https://commons.wikimedia.org/wiki/File:Willis_Lamb_1955.jpg
20,ポリカプ・クッシュ,クッシュ,クッシュ,family,物理,現代,1911,1993,yes,男性,アメリカ合衆国,物故,1955年に電子の磁気モーメントに関する研究の功績でノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Polykarp%20Kusch.jpg,https://commons.wikimedia.org/wiki/File:Polykarp_Kusch.jpg
20,ポリカプ・クッシュ,ポリカプ・クッシュ,ポリカプ・クッシュ,full,物理,現代,1911,1993,yes,男性,アメリカ合衆国,物故,1955年に電子の磁気モーメントに関する研究の功績でノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Polykarp%20Kusch.jpg,https://commons.wikimedia.org/wiki/File:Polykarp_Kusch.jpg
21,オーウェン・チェンバレン,チェンバレン,チェンバレン,family,物理,現代,1920,2006,yes,男性,アメリカ合衆国,物故,「反陽子の発見」により、共同研究者であったセグレとともに1959年のノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Owen%20Chamberlain.jpg,https://commons.wikimedia.org/wiki/File:Owen_Chamberlain.jpg
21,オーウェン・チェンバレン,オーウェン・チェンバレン,オーウェン・チェンバレン,full,物理,現代,1920,2006,yes,男性,アメリカ合衆国,物故,「反陽子の発見」により、共同研究者であったセグレとともに1959年のノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Owen%20Chamberlain.jpg,https://commons.wikimedia.org/wiki/File:Owen_Chamberlain.jpg
22,ドナルド・グレーザー,グレーザー,グレーザー,family,物理,現代,1926,2013,yes,男性,アメリカ合衆国,物故,飛跡検出器である泡箱の発明により、1960年度のノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Donald%20Glaser.jpg,https://commons.wikimedia.org/wiki/File:Donald_Glaser.jpg
22,ドナルド・グレーザー,ドナルド・グレーザー,ドナルド・グレーザー,full,物理,現代,1926,2013,yes,男性,アメリカ合衆国,物故,飛跡検出器である泡箱の発明により、1960年度のノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Donald%20Glaser.jpg,https://commons.wikimedia.org/wiki/File:Donald_Glaser.jpg
23,ロバート・ホフスタッター,ホフスタッター,ホフスタッター,family,物理,現代,1915,1990,yes,男性,アメリカ合衆国,物故,1961年「線形加速器による高エネルギー電子散乱の研究と核子の構造に関する発見」によりノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Hofstadter.jpg,https://commons.wikimedia.org/wiki/File:Robert_Hofstadter.jpg
23,ロバート・ホフスタッター,ロバート・ホフスタッター,ロバート・ホフスタッター,full,物理,現代,1915,1990,yes,男性,アメリカ合衆国,物故,1961年「線形加速器による高エネルギー電子散乱の研究と核子の構造に関する発見」によりノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Hofstadter.jpg,https://commons.wikimedia.org/wiki/File:Robert_Hofstadter.jpg
24,ルドルフ・メスバウアー,メスバウアー,メスバウアー,family,物理,現代,1929,2011,yes,男性,ドイツ,物故,メスバウアー効果の発見者として知られる。,http://commons.wikimedia.org/wiki/Special:FilePath/Rudolf%20L.%20Moessbauer%201962.png,https://commons.wikimedia.org/wiki/File:Rudolf_L._Moessbauer_1962.png
24,ルドルフ・メスバウアー,ルドルフ・メスバウアー,ルドルフ・メスバウアー,full,物理,現代,1929,2011,yes,男性,ドイツ,物故,メスバウアー効果の発見者として知られる。,http://commons.wikimedia.org/wiki/Special:FilePath/Rudolf%20L.%20Moessbauer%201962.png,https://commons.wikimedia.org/wiki/File:Rudolf_L._Moessbauer_1962.png
25,ヨハネス・ハンス・イェンゼン,イェンゼン,イェンゼン,family,物理,現代,1907,1973,yes,男性,ドイツ国/西ドイツ,物故,原子核の殻模型の提案により、1963年、マリア・ゲッパート＝メイヤーとノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Hans%20Daniel%20Jensen%20%281907%E2%80%931973%29.jpg,https://commons.wikimedia.org/wiki/File:Johannes_Hans_Daniel_Jensen_%281907%E2%80%931973%29.jpg
25,ヨハネス・ハンス・イェンゼン,ヨハネス・ハンス・イェンゼン,ヨハネス・ハンス・イェンゼン,full,物理,現代,1907,1973,yes,男性,ドイツ国/西ドイツ,物故,原子核の殻模型の提案により、1963年、マリア・ゲッパート＝メイヤーとノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Hans%20Daniel%20Jensen%20%281907%E2%80%931973%29.jpg,https://commons.wikimedia.org/wiki/File:Johannes_Hans_Daniel_Jensen_%281907%E2%80%931973%29.jpg
26,チャールズ・タウンズ,タウンズ,タウンズ,family,物理,現代,1915,2015,yes,男性,アメリカ合衆国,物故,誘導放出による電磁波の増幅（メーザー、レーザー）の基本原理を発明した。,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Townes.jpg,https://commons.wikimedia.org/wiki/File:Charles_Townes.jpg
26,チャールズ・タウンズ,チャールズ・タウンズ,チャールズ・タウンズ,full,物理,現代,1915,2015,yes,男性,アメリカ合衆国,物故,誘導放出による電磁波の増幅（メーザー、レーザー）の基本原理を発明した。,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Townes.jpg,https://commons.wikimedia.org/wiki/File:Charles_Townes.jpg
27,ニコライ・バソフ,バソフ,バソフ,family,物理,現代,1922,2001,yes,男性,ソビエト連邦/ロシア/ロシア社会主義連邦ソビエト共和国,物故,メーザー・レーザー原理に基づく発振器と増幅器につながる量子エレクトロニクス研究で、1964年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Basov.jpg,https://commons.wikimedia.org/wiki/File:Basov.jpg
27,ニコライ・バソフ,ニコライ・バソフ,ニコライ・バソフ,full,物理,現代,1922,2001,yes,男性,ソビエト連邦/ロシア/ロシア社会主義連邦ソビエト共和国,物故,メーザー・レーザー原理に基づく発振器と増幅器につながる量子エレクトロニクス研究で、1964年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Basov.jpg,https://commons.wikimedia.org/wiki/File:Basov.jpg
28,アルフレッド・カストレル,カストレル,カストレル,family,物理,現代,1902,1984,yes,男性,フランス,物故,1966年に「原子のヘルツ波共鳴を研究するための光学的手法の発見および開発 」によりノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Kastler.jpg,https://commons.wikimedia.org/wiki/File:Kastler.jpg
28,アルフレッド・カストレル,アルフレッド・カストレル,アルフレッド・カストレル,full,物理,現代,1902,1984,yes,男性,フランス,物故,1966年に「原子のヘルツ波共鳴を研究するための光学的手法の発見および開発 」によりノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Kastler.jpg,https://commons.wikimedia.org/wiki/File:Kastler.jpg
29,ルイ・アルヴァレ,アルヴァレ,アルヴァレ,family,物理,NA,NA,NA,NA,NA,NA,NA,水素泡箱で多数の共鳴粒子を発見し1968年ノーベル物理学賞を受賞。隕石衝突による恐竜絶滅説も提唱した。,http://commons.wikimedia.org/wiki/Special:FilePath/LWA_Picture_Final.jpg,https://commons.wikimedia.org/wiki/File:LWA_Picture_Final.jpg
29,ルイ・アルヴァレ,ルイ・アルヴァレ,ルイ・アルヴァレ,full,物理,NA,NA,NA,NA,NA,NA,NA,水素泡箱で多数の共鳴粒子を発見し1968年ノーベル物理学賞を受賞。隕石衝突による恐竜絶滅説も提唱した。,http://commons.wikimedia.org/wiki/Special:FilePath/LWA_Picture_Final.jpg,https://commons.wikimedia.org/wiki/File:LWA_Picture_Final.jpg
30,ハンス・アルヴェーン,アルヴェーン,アルヴェーン,family,物理/天文学,現代,1908,1995,yes,男性,スウェーデン,物故,プラズマ物理学に応用される磁気流体力学の基礎研究と発見で、1970年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/YoungAlfven.jpg,https://commons.wikimedia.org/wiki/File:YoungAlfven.jpg
30,ハンス・アルヴェーン,ハンス・アルヴェーン,ハンス・アルヴェーン,full,物理/天文学,現代,1908,1995,yes,男性,スウェーデン,物故,プラズマ物理学に応用される磁気流体力学の基礎研究と発見で、1970年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/YoungAlfven.jpg,https://commons.wikimedia.org/wiki/File:YoungAlfven.jpg
31,ルイ・ネール,ネール,ネール,family,物理,現代,1904,2000,yes,男性,フランス,物故,反強磁性とフェリ磁性の基礎研究および発見により、1970年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20N%C3%A9el%201970b.jpg,https://commons.wikimedia.org/wiki/File:Louis_N%C3%A9el_1970b.jpg
31,ルイ・ネール,ルイ・ネール,ルイ・ネール,full,物理,現代,1904,2000,yes,男性,フランス,物故,反強磁性とフェリ磁性の基礎研究および発見により、1970年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20N%C3%A9el%201970b.jpg,https://commons.wikimedia.org/wiki/File:Louis_N%C3%A9el_1970b.jpg
32,ガーボル・デーネシュ,デーネシュ,デーネシュ,family,物理,近代,1900,1979,yes,男性,イギリス/ハンガリー,物故,ホログラフィー法の発明と開発により、1971年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Dennis%20Gabor%201971.jpg,https://commons.wikimedia.org/wiki/File:Dennis_Gabor_1971.jpg
32,ガーボル・デーネシュ,ガーボル・デーネシュ,ガーボル・デーネシュ,full,物理,近代,1900,1979,yes,男性,イギリス/ハンガリー,物故,ホログラフィー法の発明と開発により、1971年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Dennis%20Gabor%201971.jpg,https://commons.wikimedia.org/wiki/File:Dennis_Gabor_1971.jpg
33,ジョン・ロバート・シュリーファー,シュリーファー,シュリーファー,family,物理,現代,1931,2019,yes,男性,アメリカ合衆国,物故,バーディーンらと超伝導のBCS理論を構築し、1972年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Robert%20Schrieffer%201972.jpg,https://commons.wikimedia.org/wiki/File:John_Robert_Schrieffer_1972.jpg
33,ジョン・ロバート・シュリーファー,ジョン・ロバート・シュリーファー,ジョン・ロバート・シュリーファー,full,物理,現代,1931,2019,yes,男性,アメリカ合衆国,物故,バーディーンらと超伝導のBCS理論を構築し、1972年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Robert%20Schrieffer%201972.jpg,https://commons.wikimedia.org/wiki/File:John_Robert_Schrieffer_1972.jpg
34,アイヴァー・ジェーバー,ジェーバー,ジェーバー,family,物理,現代,1929,2025,yes,男性,アメリカ合衆国/ノルウェー,物故,超伝導体における電子のトンネル現象を実験的に発見し、1973年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Ivar%20Giaever%201973.jpg,https://commons.wikimedia.org/wiki/File:Ivar_Giaever_1973.jpg
34,アイヴァー・ジェーバー,アイヴァー・ジェーバー,アイヴァー・ジェーバー,full,物理,現代,1929,2025,yes,男性,アメリカ合衆国/ノルウェー,物故,超伝導体における電子のトンネル現象を実験的に発見し、1973年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Ivar%20Giaever%201973.jpg,https://commons.wikimedia.org/wiki/File:Ivar_Giaever_1973.jpg
35,マーティン・ライル,ライル,ライル,family,物理/天文学,現代,1918,1984,yes,男性,イギリス,物故,開口合成法の発明と電波天文学の先駆的研究により、1974年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Ryle%20%28cropped%29.jpg,https://commons.wikimedia.org/wiki/File:Martin_Ryle_%28cropped%29.jpg
35,マーティン・ライル,マーティン・ライル,マーティン・ライル,full,物理/天文学,現代,1918,1984,yes,男性,イギリス,物故,開口合成法の発明と電波天文学の先駆的研究により、1974年ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Ryle%20%28cropped%29.jpg,https://commons.wikimedia.org/wiki/File:Martin_Ryle_%28cropped%29.jpg
36,アントニー・ヒューイッシュ,ヒューイッシュ,ヒューイッシュ,family,物理/天文学,現代,1924,2021,yes,男性,イギリス,物故,パルサーを発見した功績によって1974年に同僚のマーティン・ライルとともにノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/26.%20Tagung%201976%20Physiker%3B%20Gruppen%20beim%20Bayrischen%20Fr%C3%BChst%C3%BCck%20Antony%20Hewish%20-%20W134Nr.106841b%20-%20Willy%20Pragher.jpg,https://commons.wikimedia.org/wiki/File:26._Tagung_1976_Physiker%3B_Gruppen_beim_Bayrischen_Fr%C3%BChst%C3%BCck_Antony_Hewish_-_W134Nr.106841b_-_Willy_Pragher.jpg
36,アントニー・ヒューイッシュ,アントニー・ヒューイッシュ,アントニー・ヒューイッシュ,full,物理/天文学,現代,1924,2021,yes,男性,イギリス,物故,パルサーを発見した功績によって1974年に同僚のマーティン・ライルとともにノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/26.%20Tagung%201976%20Physiker%3B%20Gruppen%20beim%20Bayrischen%20Fr%C3%BChst%C3%BCck%20Antony%20Hewish%20-%20W134Nr.106841b%20-%20Willy%20Pragher.jpg,https://commons.wikimedia.org/wiki/File:26._Tagung_1976_Physiker%3B_Gruppen_beim_Bayrischen_Fr%C3%BChst%C3%BCck_Antony_Hewish_-_W134Nr.106841b_-_Willy_Pragher.jpg
37,レオ・ジェームス・レインウォーター,レインウォーター,レインウォーター,family,物理,現代,1917,1986,yes,男性,アメリカ合衆国,物故,1975年には特定の核子における非対称性の測定実績が評価され、ノーベル物理学賞を受賞。,http://commons.wikimedia.org/wiki/Special:FilePath/James%20Rainwater%202.jpg,https://commons.wikimedia.org/wiki/File:James_Rainwater_2.jpg
