id,original,surface,pronunciation,prefecture,city,lines,operator,opened_year,station_code,status,image,image_page,description,wikidata
10,愛大医学部南口,愛大医学部南口,あいだいいがくぶみなみぐち,愛媛県,東温市,伊予鉄道横河原線,伊予鉄,1981,IY 23,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aidai-igakubu-minamiguchi%20station.JPG,https://commons.wikimedia.org/wiki/File:Aidai-igakubu-minamiguchi_station.JPG,愛媛県東温市志津川にある、伊予鉄道横河原線の駅である。駅番号はIY23、略称は医学部駅（いがくぶえき）。,Q11493498
11,愛知大学前,愛知大学前,あいちだいがくまえ,愛知県,北丘町,豊橋鉄道 渥美線,豊橋鉄道,1924,4,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aichi%20Daigaku-mae%20Station%202.jpg,https://commons.wikimedia.org/wiki/File:Aichi_Daigaku-mae_Station_2.jpg,愛知県豊橋市北丘町字北丘にある豊橋鉄道渥美線の駅である。駅番号は4。,Q4696602
12,愛知御津,愛知御津,あいちみと,愛知県,豊橋市,JR東海 東海道本線／JR東海 東海道線 (名古屋地区),JR東海,1888,CA44／アミ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Central%20Aichi-mito%20Station%20Platform%202%E3%83%BB3.jpg,https://commons.wikimedia.org/wiki/File:JR_Central_Aichi-mito_Station_Platform_2%E3%83%BB3.jpg,愛知県豊川市御津町西方松本にある、東海旅客鉄道（JR東海）東海道本線の駅である。駅番号はCA44。運行形態の詳細は「東海道線 (名古屋地区)」を参照。,Q872467
13,会津荒海,会津荒海,あいづあらかい,福島県,南会津町,会津鉄道会津線,会津鉄道,1947,アラ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aizuarakai%20sta.jpg,https://commons.wikimedia.org/wiki/File:Aizuarakai_sta.jpg,福島県南会津郡南会津町関本字百一にある会津鉄道会津線の駅である。,Q4699442
14,会津大塩,会津大塩,あいづおおしお,福島県,金山町,JR東日本 只見線,JR東日本,1965,アオ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Aizu-%C5%8Cshio%20Station%20Platform%2C%20Fukushima%20Pref.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Aizu-%C5%8Cshio_Station_Platform%2C_Fukushima_Pref.jpg,福島県大沼郡金山町大字大塩にある、東日本旅客鉄道（JR東日本）只見線の駅である。,Q4699467
15,会津川口,会津川口,あいづかわぐち,福島県,金山町,JR東日本 只見線,JR東日本,1956,カワ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Aizu-Kawaguchi%20Station%20building%2C%20Fukushima%20Pref%2020230702.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Aizu-Kawaguchi_Station_building%2C_Fukushima_Pref_20230702.jpg,福島県大沼郡金山町大字川口字森ノ上にある、東日本旅客鉄道（JR東日本）只見線の駅である。,Q4699447
16,会津蒲生,会津蒲生,あいづがもう,福島県,只見町,JR東日本 只見線,JR東日本,1963,カモ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Aizu-Gam%C5%8D%20Station%20Overall%2C%20Fukushima%20Pref.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Aizu-Gam%C5%8D_Station_Overall%2C_Fukushima_Pref.jpg,福島県南会津郡只見町大字蒲生字久保にある、東日本旅客鉄道（JR東日本）只見線の駅である。,Q4699443
17,相月,相月,あいづき,静岡県,浜松市,JR東海 飯田線,JR東海,1955,ツキ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aizuki%20Station-Platform%202.jpg,https://commons.wikimedia.org/wiki/File:Aizuki_Station-Platform_2.jpg,静岡県浜松市天竜区佐久間町相月にある、東海旅客鉄道（JR東海）飯田線の駅である。,Q776777
18,会津高原尾瀬口,会津高原尾瀬口,あいづこうげんおぜぐち,福島県,南会津町,会津鉄道会津線／野岩鉄道 会津鬼怒川線,会津鉄道／野岩鉄道,1953,アコ／コケ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aizukogenozeguchi%20sta.jpg,https://commons.wikimedia.org/wiki/File:Aizukogenozeguchi_sta.jpg,福島県南会津郡南会津町滝原（たきのはら）字羽根子にある会津鉄道・野岩鉄道の駅。会津鉄道会津線と野岩鉄道会津鬼怒川線の分界駅。,Q4699473
19,会津越川,会津越川,あいづこすがわ,福島県,金山町,JR東日本 只見線,JR東日本,1965,アス,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Aizu-Kosugawa%20Station%20Overall.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Aizu-Kosugawa_Station_Overall.jpg,福島県大沼郡金山町大字越川字中屋敷にある、東日本旅客鉄道（JR東日本）只見線の駅である。,Q4699448
20,会津坂本,会津坂本,あいづさかもと,福島県,会津坂下町,JR東日本 只見線,JR東日本,1928,アモ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Aizu-Sakamoto%20Station%20Platform%2C%20Fukushima%20Pref.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Aizu-Sakamoto_Station_Platform%2C_Fukushima_Pref.jpg,福島県河沼郡会津坂下町大字坂本字上新田丁（かみしんでんてい）にある、東日本旅客鉄道（JR東日本）只見線の駅である。,Q4699455
21,会津山村道場,会津山村道場,あいづさんそんどうじょう,福島県,南会津町,会津鉄道会津線,会津鉄道,2001,サン,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aizu-Sanson-D%C5%8Dj%C5%8D%20Station%20003.JPG,https://commons.wikimedia.org/wiki/File:Aizu-Sanson-D%C5%8Dj%C5%8D_Station_003.JPG,福島県南会津郡南会津町糸沢字今泉平にある会津鉄道会津線の駅である。,Q4699454
22,会津塩沢,会津塩沢,あいづしおざわ,福島県,只見町,JR東日本 只見線,JR東日本,1965,ツシ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Aizu-Shiozawa%20Station%20Overall%2C%20Fukushima%20Pref.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Aizu-Shiozawa_Station_Overall%2C_Fukushima_Pref.jpg,福島県南会津郡只見町大字塩沢字上田にある、東日本旅客鉄道（JR東日本）只見線の駅である。,Q4699457
23,会津下郷,会津下郷,あいづしもごう,福島県,下郷町,会津鉄道会津線,会津鉄道,1934,ララ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aizu-Shimog%C5%8D%20Station%20001.JPG,https://commons.wikimedia.org/wiki/File:Aizu-Shimog%C5%8D_Station_001.JPG,福島県南会津郡下郷町大字豊成字下モにある会津鉄道会津線の駅である。,Q4699456
24,会津高田,会津高田,あいづたかだ,福島県,会津美里町,JR東日本 只見線,JR東日本,1926,タタ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Aizu-Takada%20Station%20Platform%2C%20Fukushima%20Pref.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Aizu-Takada_Station_Platform%2C_Fukushima_Pref.jpg,福島県大沼郡会津美里町字柳台甲にある、東日本旅客鉄道（JR東日本）只見線の駅である。,Q4699459
25,会津田島,会津田島,あいづたじま,福島県,南会津町,会津鉄道会津線,会津鉄道,1934,ツマ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aizutajima%20Station.png,https://commons.wikimedia.org/wiki/File:Aizutajima_Station.png,福島県南会津郡南会津町田島字西番場甲にある会津鉄道会津線の駅である。南会津町（旧・田島町）の代表駅。当駅を境に中荒井方は電化区間、田島高校前方は非電化区間である。,Q4699458
26,会津豊川,会津豊川,あいづとよかわ,福島県,喜多方市,JR東日本 磐越西線,JR東日本,1934,アヨ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Aizu-Toyokawa%20Station%20Overall.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Aizu-Toyokawa_Station_Overall.jpg,福島県喜多方市豊川町字一井にある、東日本旅客鉄道（JR東日本）磐越西線の駅である。朝夕の一部と日中の1本を除き普通列車も通過し、利用できる列車は上下5往復のみである。,Q4699460
27,会津中川,会津中川,あいづなかがわ,福島県,金山町,JR東日本 只見線,JR東日本,1956,ナカ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Aizu-Nakagawa%20Station%20building%2C%20Fukushima%20Pref.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Aizu-Nakagawa_Station_building%2C_Fukushima_Pref.jpg,福島県大沼郡金山町大字中川字坂下にある、東日本旅客鉄道（JR東日本）只見線の駅である。,Q4699452
28,会津長野,会津長野,あいづながの,福島県,南会津町,会津鉄道会津線,会津鉄道,1934,ナノ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aizu-Nagano%20Station%20001.JPG,https://commons.wikimedia.org/wiki/File:Aizu-Nagano_Station_001.JPG,福島県南会津郡南会津町長野字下谷地にある会津鉄道会津線の駅である。,Q4699451
29,会津西方,会津西方,あいづにしかた,福島県,三島町,JR東日本 只見線,JR東日本,1941,シカ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Aizu-Nishikata%20Station%20Platform%2C%20Fukushima%20Pref.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Aizu-Nishikata_Station_Platform%2C_Fukushima_Pref.jpg,福島県大沼郡三島町大字名入（ないり）字根岸居平（ねぎしいだいら）にある、東日本旅客鉄道（JR東日本）只見線の駅である。,Q4699453
30,会津坂下,会津坂下,あいづばんげ,福島県,会津坂下町,JR東日本 只見線,JR東日本,1926,ハン,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Aizu-Bange%20Station%20Platform%2C%20Fukushima%20Pref.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Aizu-Bange_Station_Platform%2C_Fukushima_Pref.jpg,福島県河沼郡会津坂下町字五反田にある、東日本旅客鉄道（JR東日本）只見線の駅である。,Q4699441
31,会津桧原,会津桧原,あいづひのはら,福島県,三島町,JR東日本 只見線,JR東日本,1941,アヒ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Aizu-Hinohara%20Station%20Platform%2C%20Fukushima%20Pref.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Aizu-Hinohara_Station_Platform%2C_Fukushima_Pref.jpg,福島県大沼郡三島町大字桧原にある、東日本旅客鉄道（JR東日本）只見線の駅である。,Q4699444
32,会津本郷,会津本郷,あいづほんごう,福島県,会津若松市,JR東日本 只見線,JR東日本,1926,ホコ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Aizu-Hong%C5%8D%20Station%20Platform%2C%20Fukushima%20Pref.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Aizu-Hong%C5%8D_Station_Platform%2C_Fukushima_Pref.jpg,福島県会津若松市北会津町上米塚（かみよねづか）にある、東日本旅客鉄道（JR東日本）只見線の駅である。,Q4699446
33,逢妻,逢妻,あいづま,愛知県,熊野町,JR東海 東海道本線,JR東海,1988,CA59／ツマ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Central%20Aizuma%20Station%20Platform.jpg,https://commons.wikimedia.org/wiki/File:JR_Central_Aizuma_Station_Platform.jpg,愛知県刈谷市熊野町二丁目にある、東海旅客鉄道（JR東海）東海道本線の駅である。駅番号はCA59。運行形態の詳細は「東海道線 (名古屋地区)」を参照。,Q871545
34,会津水沼,会津水沼,あいづみずぬま,福島県,金山町,JR東日本 只見線,JR東日本,1956,ミヌ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Aizu-Mizunuma%20Station%20Platform%2C%20Fukushima%20Pref.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Aizu-Mizunuma_Station_Platform%2C_Fukushima_Pref.jpg,福島県大沼郡金山町大字水沼字桑畑にある、東日本旅客鉄道（JR東日本）只見線の駅である。,Q4699450
35,会津宮下,会津宮下,あいづみやした,福島県,三島町,JR東日本 只見線,JR東日本,1941,ミシ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Aizu-Miyashita%20Station%20Platform%2C%20Fukushima%20Pref.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Aizu-Miyashita_Station_Platform%2C_Fukushima_Pref.jpg,福島県大沼郡三島町大字宮下字田中にある、東日本旅客鉄道（JR東日本）只見線の駅である。,Q4699449
36,会津柳津,会津柳津,あいづやないづ,福島県,柳津町,JR東日本 只見線,JR東日本,1928,アヤ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Aizu-Yanaizu%20Station%20Platform%2C%20Fukushima%20Pref.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Aizu-Yanaizu_Station_Platform%2C_Fukushima_Pref.jpg,福島県河沼郡柳津町大字柳津字下大平にある、東日本旅客鉄道（JR東日本）只見線の駅である。,Q4699465
37,会津横田,会津横田,あいづよこた,福島県,金山町,JR東日本 只見線,JR東日本,1963,ヨタ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Aizu-Yokota%20Station%20Platform%2C%20Fukushima%20Pref.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Aizu-Yokota_Station_Platform%2C_Fukushima_Pref.jpg,福島県大沼郡金山町大字横田字松ノ木平にある、東日本旅客鉄道（JR東日本）只見線の駅である。,Q4699466
38,会津若松,会津若松,あいづわかまつ,福島県,会津若松市,JR東日本 只見線／JR東日本 磐越西線,JR東日本／JR貨物,1899,ワカ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Aizu-Wakamatsu%20Station%20building.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Aizu-Wakamatsu_Station_building.jpg,福島県会津若松市駅前通りにある、東日本旅客鉄道（JR東日本）・日本貨物鉄道（JR貨物）の駅である。,Q4699462
39,藍那,藍那,あいな,兵庫県,神戸市,神鉄 粟生線,神鉄,1936,KB43,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aina%20Station.JPG,https://commons.wikimedia.org/wiki/File:Aina_Station.JPG,兵庫県神戸市北区山田町藍那字清水にある、神戸電鉄粟生線の駅。駅番号はKB43。,Q8192057
40,相野,相野,あいの,兵庫県,三田市,JR西日本 福知山線,JR西日本,1899,アノ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aino%20station%20Hyogo%20prefecture%20frontview.jpg,https://commons.wikimedia.org/wiki/File:Aino_station_Hyogo_prefecture_frontview.jpg,兵庫県三田市下相野字五反田にある、西日本旅客鉄道（JR西日本）福知山線（JR宝塚線）の駅である。駅番号はJR-G64。,Q1043180
41,愛野,愛野,あいの,長崎県,雲仙市,島原鉄道線,島鉄,1911,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Shimabara%20Railway%20Aino%20Station%2002.JPG,https://commons.wikimedia.org/wiki/File:Shimabara_Railway_Aino_Station_02.JPG,長崎県雲仙市愛野町甲にある島原鉄道島原鉄道線の駅である。※静岡県袋井市にある東海旅客鉄道(JR東海)の東海道線「愛野駅」については(愛野駅 (静岡県))を参照。,Q11494902
42,愛野,愛野,あいの,静岡県,袋井市,JR東海 東海道本線／JR東海 東海道線 (静岡地区),JR東海,2001,CA28／アイ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Central%20Aino%20Station%20Platform.jpg,https://commons.wikimedia.org/wiki/File:JR_Central_Aino_Station_Platform.jpg,静岡県袋井市愛野にある、東海旅客鉄道（JR東海）東海道本線の駅である。駅番号はCA28。運行形態の詳細は「東海道線 (静岡地区)」を参照。,Q871135
43,相浦,相浦,あいのうら,長崎県,佐世保市,松浦鉄道西九州線,松浦鉄道,1920,アイ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Ainoura%20Station.JPG,https://commons.wikimedia.org/wiki/File:Ainoura_Station.JPG,長崎県佐世保市相浦町にある松浦鉄道西九州線の駅である。黒島天主堂がある黒島への玄関口であり、駅近くには愛宕山があることから「黒島天主堂とあたごさんの駅」の愛称が付けられている。,Q11582233
44,相ノ木,相ノ木,あいのき,富山県,上市町,富山地方鉄道本線,地鉄,1931,T10,current,http://commons.wikimedia.org/wiki/Special:FilePath/Ainoki%20sta1.jpg,https://commons.wikimedia.org/wiki/File:Ainoki_sta1.jpg,富山県中新川郡上市町正印新にある富山地方鉄道本線の駅である。駅番号はT10。,Q4697465
45,あいの里教育大,あいの里教育大,あいのさときょういくだい,北海道,あいの里,JR北海道 札沼線,JR北海道,1967,G10,current,http://commons.wikimedia.org/wiki/Special:FilePath/Ainosato%20kyoikudai%20minami-guchi.jpg,https://commons.wikimedia.org/wiki/File:Ainosato_kyoikudai_minami-guchi.jpg,北海道札幌市北区あいの里1条5丁目にある、北海道旅客鉄道（JR北海道）札沼線（学園都市線）の駅である。駅番号はG10。事務管理コードは▲110224。電報略号はアノ。,Q2490286
46,あいの里公園,あいの里公園,あいのさとこうえん,北海道,あいの里/北区,JR北海道 札沼線,,1958,G11,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Sassho-Line%20Ainosato-Koen%20Station%20building.jpg,https://commons.wikimedia.org/wiki/File:JR_Sassho-Line_Ainosato-Koen_Station_building.jpg,北海道札幌市北区あいの里2条8丁目にある、北海道旅客鉄道（JR北海道）札沼線（学園都市線）の駅である。駅番号はG11。電報略号はアコ。事務管理コードは▲130203。,Q2490245
47,相内,相内,あいのない,北海道,北見市,JR北海道 石北本線,JR北海道,1912,A57,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Sekihoku-Main-Line%20Ainonai%20Station%20building.jpg,https://commons.wikimedia.org/wiki/File:JR_Sekihoku-Main-Line_Ainonai_Station_building.jpg,北海道北見市相内町にある北海道旅客鉄道（JR北海道）石北本線の駅である。電報略号はアイ。事務管理コードは▲122526。駅番号はA57。,Q4697471
48,相野々,相野々,あいのの,秋田県,横手市,JR東日本 北上線,JR東日本,1920,アノ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Ainono%20Station%20building%2C%20Akita%20Pref%2020231008.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Ainono_Station_building%2C_Akita_Pref_20231008.jpg,秋田県横手市山内土渕（さんないつちぶち）字中島にある、東日本旅客鉄道（JR東日本）北上線の駅である。,Q4697472
49,相原,相原,あいはら,東京都,町田市,JR東日本 横浜線,JR東日本,1908,JH29／アイ,current,http://commons.wikimedia.org/wiki/Special:FilePath/AiharaStation%28West%292.jpg,https://commons.wikimedia.org/wiki/File:AiharaStation%28West%292.jpg,東京都町田市相原町にある、東日本旅客鉄道（JR東日本）横浜線の駅である。駅番号はJH 29。町田市最西端かつ最北端に位置する鉄道駅。,Q844635
50,愛別,愛別,あいべつ,北海道,愛別町,JR北海道 石北本線,JR北海道,1922,A38,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Sekihoku-Main-Line%20Aibetsu%20Station%20building.jpg,https://commons.wikimedia.org/wiki/File:JR_Sekihoku-Main-Line_Aibetsu_Station_building.jpg,北海道上川郡愛別町字東町にある北海道旅客鉄道（JR北海道）石北本線の駅である。電報略号はイヘ。事務管理コードは▲122505。駅番号はA38。普通列車のみの停車駅である。,Q4696540
51,相見,相見,あいみ,愛知県,幸田町,JR東海 東海道本線／JR東海 東海道線 (名古屋地区),JR東海,2012,CA51／イミ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aimi-STA%20Home1-2.jpg,https://commons.wikimedia.org/wiki/File:Aimi-STA_Home1-2.jpg,愛知県額田郡幸田町大字相見字相見にある、東海旅客鉄道（JR東海）東海道本線の駅である。駅番号はCA51。,Q900229
52,藍本,藍本,あいもと,兵庫県,三田市,JR西日本 福知山線,JR西日本,1899,アモ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aimoto%20station%20Hyogo%20prefecture%20westside.jpg,https://commons.wikimedia.org/wiki/File:Aimoto_station_Hyogo_prefecture_westside.jpg,兵庫県三田市藍本字ふけにある、西日本旅客鉄道（JR西日本）福知山線の駅である。駅番号はJR-G65。アーバンネットワークおよび「JR宝塚線」の愛称区間に含まれている。,Q1043156
53,愛本,愛本,あいもと,富山県,黒部市,富山地方鉄道本線,,1923,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aimoto%20Sta.jpg,https://commons.wikimedia.org/wiki/File:Aimoto_Sta.jpg,富山県黒部市宇奈月町内山にある、富山地方鉄道本線の駅である。駅番号はT38。,Q4697186
54,姶良,姶良,あいら,鹿児島県,姶良市,JR九州 日豊本線,JR九州,1988,アラ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aira%20Station%20plathome.jpg,https://commons.wikimedia.org/wiki/File:Aira_Station_plathome.jpg,鹿児島県姶良市西餅田にある、九州旅客鉄道（JR九州）日豊本線の駅である。市名を名乗るが姶良市の中心は当駅ではなく隣の帖佐駅である。特急「きりしま」の一部列車が停車する。,Q900364
55,アイランド北口,アイランド北口,あいらんどきたぐち,兵庫県,神戸市,神戸新交通 六甲アイランド線,神戸新交通,1990,R04,current,http://commons.wikimedia.org/wiki/Special:FilePath/Island-kitaguchi_st02s3200.jpg,https://commons.wikimedia.org/wiki/File:Island-kitaguchi_st02s3200.jpg,兵庫県神戸市東灘区向洋町中1丁目にある神戸新交通六甲アイランド線の駅である。駅番号はR04。,Q11282452
56,アイランドセンター,アイランドセンター,あいらんどせんたー,兵庫県,神戸市,神戸新交通 六甲アイランド線,神戸新交通,1990,R05,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kobe_New_Transit_Island_Center_Station.jpg,https://commons.wikimedia.org/wiki/File:Kobe_New_Transit_Island_Center_Station.jpg,兵庫県神戸市東灘区向洋町中2丁目にある神戸新交通六甲アイランド線の駅。駅番号はR05。,Q11282449
57,愛・地球博記念公園,愛・地球博記念公園,あい・ちきゅうはくきねんこうえん,愛知県,長久手市,愛知高速交通 東部丘陵線,,2005,L07,current,http://commons.wikimedia.org/wiki/Special:FilePath/Linimo_of_Ai%EF%BD%A5Chikyuhaku_Kinen_Koen_Station_02.JPG,https://commons.wikimedia.org/wiki/File:Linimo_of_Ai%EF%BD%A5Chikyuhaku_Kinen_Koen_Station_02.JPG,愛知県長久手市茨ケ廻間にある、愛知高速交通東部丘陵線（リニモ）の駅である。駅番号はL07。,Q861802
58,粟生,粟生,あお,兵庫県,小野市,JR西日本 加古川線／北条鉄道 北条線／神鉄 粟生線,JR西日本,1913,アオ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Shintetsu%20Hojo%20Railway%20Ao%20Station.jpg,https://commons.wikimedia.org/wiki/File:JR_Shintetsu_Hojo_Railway_Ao_Station.jpg,兵庫県小野市粟生町にある、西日本旅客鉄道（JR西日本）・北条鉄道・神戸電鉄の駅である。,Q1104653
59,青井,青井,あおい,東京都,青井,首都圏新都市鉄道 つくばエクスプレス,首都圏新都市鉄道,2005,TX06,current,http://commons.wikimedia.org/wiki/Special:FilePath/Tsukuba-express-06-Aoi-station-entrance-A1-20200531-153718.jpg,https://commons.wikimedia.org/wiki/File:Tsukuba-express-06-Aoi-station-entrance-A1-20200531-153718.jpg,東京都足立区青井三丁目にある、首都圏新都市鉄道つくばエクスプレスの駅。駅番号はTX06。,Q850623
60,青井岳,青井岳,あおいだけ,宮崎県,都城市,JR九州 日豊本線,JR九州,1916,アオ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aoidake%20Station.JPG,https://commons.wikimedia.org/wiki/File:Aoidake_Station.JPG,宮崎県都城市山之口町山之口にある、九州旅客鉄道（JR九州）日豊本線の駅である。一部時間帯の普通列車は当駅を通過する。,Q899300
