id,original,surface,pronunciation,type,category,org,debut_year,status,image,image_page,wikidata,channel,description,subscribers,subscribers_as_of,image_credit,image_usage,image_terms_page,scope,channel_shared
865,なるり,なるり,ナルリ,full,vtuber,ベネッセコーポレーション,2020,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_9c91ee20bf.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_9c91ee20bf.svg,Q131577328,なるり / 進研ゼミ公式Vティーチャー,進研ゼミのVティーチャーとして、生徒に近い目線で学習法などを伝える。,19700,2026-08-18,,,,unknown,NA
866,はっか,はっか,ハッカ,full,vtuber,NA,2021,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_2da5933971.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_2da5933971.svg,Q124049541,はっか / Hakka,雑談やゲーム、食レポ、ASMRなど多様な配信に挑戦する個人VTuber。,42400,2026-08-18,,,,unknown,NA
867,ばあちゃる,ばあちゃる,バアチャル,full,vtuber,.LIVE,2017,current,https://appland.co.jp/wp-content/uploads/2025/11/02_talent_Ubiba.png,https://appland.co.jp/talent/,Q100720517,世界初男性VTuberばあちゃる【祝うま年🐴】,リアル世界で活動する時はりあちゃると呼ばれることもある。,96100,2026-08-18,ばあちゃる / .LIVE,noncommercial_fanwork,https://appland.co.jp/guideline/,japan,NA
868,ぷわぷわぽぷら,ぷわぷわぽぷら,プワプワポプラ,full,vtuber,あおぎり高校,2024,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber_fan/yt_fan_305f790bec.png,https://vhs-city.com/aogirihighschool/members/puwapuwa-popura,Q124399110,ぷわぷわぽぷら /あおぎり高校,バーチャルの枠を超えたYouTuberを目指す、創作の素質を持つ明るい女の子。,206000,2026-08-18,© あおぎり高校 / viviON Inc.,noncommercial_fanwork,https://vhs-city.com/aogirihighschool/guidelines/fanfic,japan,NA
869,ぼっちぼろまる,ぼっちぼろまる,ボッチボロマル,full,vtuber,NA,2015,current,http://commons.wikimedia.org/wiki/Special:FilePath/BOTCHI_BOROMARU_220923.jpg,https://commons.wikimedia.org/wiki/File:BOTCHI_BOROMARU_220923.jpg,Q106994211,ぼっちぼろまる,シンガーソングライター、バーチャルYouTuber。,181000,2026-08-18,,,,japan,NA
870,みけねこ,みけねこ,ミケネコ,full,vtuber,NA,2022,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_8190657a6b.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_8190657a6b.svg,Q111159847,みけねこch,ストリーマー、バーチャルYouTuber。,1000000,2026-08-18,,,,japan,NA
871,もちひよこ,もちひよこ,モチヒヨコ,full,vtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_782487ce9f.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_782487ce9f.svg,Q61730373,もちひよこ,YouTubeを主な活動場所としつつ、一部の動画はニコニコ動画に投稿している。,91600,2026-08-18,,,,japan,NA
872,アイアンマウス,アイアンマウス,アイアンマウス,full,vtuber,VShojo,2017,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_6638681f6a.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_6638681f6a.svg,Q111677965,ironmouse,プエルトリコのVTuber、Twitch配信者。,1730000,2026-08-18,,,,global,NA
873,アイラニ・イオフィフティーン,イオフィフティーン,イオフィフティーン,family,vtuber,ホロライブインドネシア/ホロライブプロダクション,2020,current,https://hololive.hololivepro.com/wp-content/uploads/2020/07/Airani-Iofifteen_pr-img_01.webp,https://hololive.hololivepro.com/talents/airani-iofifteen/,Q108085337,Airani Iofifteen Channel hololive-ID,お絵描きが好きな、地球にやってきた宇宙人のお姫様という設定のVTuber。,827000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,global,NA
873,アイラニ・イオフィフティーン,アイラニ,アイラニ,given,vtuber,ホロライブインドネシア/ホロライブプロダクション,2020,current,https://hololive.hololivepro.com/wp-content/uploads/2020/07/Airani-Iofifteen_pr-img_01.webp,https://hololive.hololivepro.com/talents/airani-iofifteen/,Q108085337,Airani Iofifteen Channel hololive-ID,お絵描きが好きな、地球にやってきた宇宙人のお姫様という設定のVTuber。,827000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,global,NA
873,アイラニ・イオフィフティーン,アイラニ・イオフィフティーン,アイラニ・イオフィフティーン,full,vtuber,ホロライブインドネシア/ホロライブプロダクション,2020,current,https://hololive.hololivepro.com/wp-content/uploads/2020/07/Airani-Iofifteen_pr-img_01.webp,https://hololive.hololivepro.com/talents/airani-iofifteen/,Q108085337,Airani Iofifteen Channel hololive-ID,お絵描きが好きな、地球にやってきた宇宙人のお姫様という設定のVTuber。,827000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,global,NA
874,アキ・ローゼンタール,ローゼンタール,ローゼンタール,family,vtuber,ホロライブ1期生,2018,current,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Aki-Rosenthal_pr-img_01.png,https://hololive.hololivepro.com/talents/aki-rosenthal/,Q108068617,アキロゼCh。Vtuber/ホロライブ所属,宙に浮くツインテールが特徴の、異世界から来たハーフエルフのVTuber。,1030000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
874,アキ・ローゼンタール,アキ,アキ,given,vtuber,ホロライブ1期生,2018,current,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Aki-Rosenthal_pr-img_01.png,https://hololive.hololivepro.com/talents/aki-rosenthal/,Q108068617,アキロゼCh。Vtuber/ホロライブ所属,宙に浮くツインテールが特徴の、異世界から来たハーフエルフのVTuber。,1030000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
874,アキ・ローゼンタール,アキ・ローゼンタール,アキ・ローゼンタール,full,vtuber,ホロライブ1期生,2018,current,https://hololive.hololivepro.com/wp-content/uploads/2020/06/Aki-Rosenthal_pr-img_01.png,https://hololive.hololivepro.com/talents/aki-rosenthal/,Q108068617,アキロゼCh。Vtuber/ホロライブ所属,宙に浮くツインテールが特徴の、異世界から来たハーフエルフのVTuber。,1030000,2026-08-18,ホロライブプロダクション公式立ち絵 © COVER,noncommercial_fanwork,https://hololivepro.com/terms/,japan,NA
875,アズマリム,アズマリム,アズマリム,full,vtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_d350e67b3a.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_d350e67b3a.svg,Q60745151,アズマリム Azumalim,スーパーカブに乗ったバイク旅を動画で届けるVTuber。,260000,2026-08-18,,,,japan,NA
876,アンジュ・カトリーナ,カトリーナ,カトリーナ,family,vtuber,にじさんじ,2019,current,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/9621c6474a884751a176ee3e706fdd73/liver-full-body_Ange_Katrina.png,https://www.nijisanji.jp/talents/l/ange-katrina,Q85870114,アンジュ・カトリーナ - Ange Katrina -,小屋で錬金術の研究に打ち込む、錬金術師という設定のライバー。,1030000,2026-08-18,にじさんじ公式立ち絵 © ANYCOLOR,noncommercial_fanwork,https://www.anycolor.co.jp/guidelines/,japan,NA
876,アンジュ・カトリーナ,アンジュ,アンジュ,given,vtuber,にじさんじ,2019,current,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/9621c6474a884751a176ee3e706fdd73/liver-full-body_Ange_Katrina.png,https://www.nijisanji.jp/talents/l/ange-katrina,Q85870114,アンジュ・カトリーナ - Ange Katrina -,小屋で錬金術の研究に打ち込む、錬金術師という設定のライバー。,1030000,2026-08-18,にじさんじ公式立ち絵 © ANYCOLOR,noncommercial_fanwork,https://www.anycolor.co.jp/guidelines/,japan,NA
876,アンジュ・カトリーナ,アンジュ・カトリーナ,アンジュ・カトリーナ,full,vtuber,にじさんじ,2019,current,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/9621c6474a884751a176ee3e706fdd73/liver-full-body_Ange_Katrina.png,https://www.nijisanji.jp/talents/l/ange-katrina,Q85870114,アンジュ・カトリーナ - Ange Katrina -,小屋で錬金術の研究に打ち込む、錬金術師という設定のライバー。,1030000,2026-08-18,にじさんじ公式立ち絵 © ANYCOLOR,noncommercial_fanwork,https://www.anycolor.co.jp/guidelines/,japan,NA
877,アーリオ・オーリオ・エ・ペペロンチーノ,ペペロンチーノ,ペペロンチーノ,family,vtuber,NA,2023,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_0d97bf4949.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_0d97bf4949.svg,Q125017451,ぺぺち ch. アーリオ オーリオ エ ペペロンチーノ🧄🌶️,パスタ王国の国王という設定で活動する、ソニーミュージックのVTuber。,40500,2026-08-18,,,,unknown,NA
877,アーリオ・オーリオ・エ・ペペロンチーノ,アーリオ,アーリオ,given,vtuber,NA,2023,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_0d97bf4949.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_0d97bf4949.svg,Q125017451,ぺぺち ch. アーリオ オーリオ エ ペペロンチーノ🧄🌶️,パスタ王国の国王という設定で活動する、ソニーミュージックのVTuber。,40500,2026-08-18,,,,unknown,NA
877,アーリオ・オーリオ・エ・ペペロンチーノ,アーリオ・オーリオ・エ・ペペロンチーノ,アーリオ・オーリオ・エ・ペペロンチーノ,full,vtuber,NA,2023,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_0d97bf4949.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_0d97bf4949.svg,Q125017451,ぺぺち ch. アーリオ オーリオ エ ペペロンチーノ🧄🌶️,パスタ王国の国王という設定で活動する、ソニーミュージックのVTuber。,40500,2026-08-18,,,,unknown,NA
878,エトラ,エトラ,エトラ,full,vtuber,あおぎり高校,2019,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber_fan/yt_fan_d666e8c4a6.png,https://vhs-city.com/aogirihighschool/members/etra,Q129177538,エトラ / étraチャンネル,未来から来た人工超知能という設定で、知的ながらプレッシャーに弱い一面もあるVTuber。,220000,2026-08-18,© あおぎり高校 / viviON Inc.,noncommercial_fanwork,https://vhs-city.com/aogirihighschool/guidelines/fanfic,japan,NA
879,キズナアイ,キズナアイ,キズナアイ,full,vtuber,Kizuna AI株式会社,2016,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_bae0a43318.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_bae0a43318.svg,Q29515292,Kizuna AI - A.I.Channel,音楽アーティスト。,3130000,2026-08-18,,,,japan,NA
880,ゴールドシップ,ゴールドシップ,ゴールドシップ,full,vtuber,チームシリウス/チームスピカ,NA,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_ee20ba98bf.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_ee20ba98bf.svg,Q105998125,ぱかチューブっ!【ウマ娘公式】,メディアミックスコンテンツ『ウマ娘 プリティーダービー』の登場キャラクター。,1410000,2026-08-18,,,,japan,no
881,シャイリリー,シャイリリー,シャイリリー,full,vtuber,NA,2015,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_80d817d37a.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_80d817d37a.svg,Q124711962,Shylily,Twitchストリーマー。,1010000,2026-08-18,,,,global,NA
882,ジョー・力一,ジョー・力一,ジョーリキイチ,full,vtuber,Rain Drops/にじさんじ,2018,current,https://images.microcms-assets.io/assets/5694fd90407444338a64d654e407cc0e/17db343033114d50aa360d0efac4ae22/liver-full-body_Joe_Rikiichi.png,https://www.nijisanji.jp/talents/l/joe-rikiichi,Q110944621,ジョー・力一 Joe Rikiichi,人との交流を求めて活動する、正体不明のピエロという設定のライバー。,657000,2026-08-18,にじさんじ公式立ち絵 © ANYCOLOR,noncommercial_fanwork,https://www.anycolor.co.jp/guidelines/,japan,NA
883,ハナ・マキア,マキア,マキア,family,vtuber,NA,2019,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_e30ee4e251.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_e30ee4e251.svg,Q105964781,Hana Macchia Ch.【NIJISANJI・にじさんじ】,デザインを学ぶ大学生という設定で、視聴者が安心して過ごせる場を目指すライバー。,280000,2026-08-18,,,,unknown,NA
883,ハナ・マキア,ハナ,ハナ,given,vtuber,NA,2019,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_e30ee4e251.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_e30ee4e251.svg,Q105964781,Hana Macchia Ch.【NIJISANJI・にじさんじ】,デザインを学ぶ大学生という設定で、視聴者が安心して過ごせる場を目指すライバー。,280000,2026-08-18,,,,unknown,NA
883,ハナ・マキア,ハナ・マキア,ハナ・マキア,full,vtuber,NA,2019,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_e30ee4e251.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_e30ee4e251.svg,Q105964781,Hana Macchia Ch.【NIJISANJI・にじさんじ】,デザインを学ぶ大学生という設定で、視聴者が安心して過ごせる場を目指すライバー。,280000,2026-08-18,,,,unknown,NA
884,バーチャルおばあちゃん,バーチャルおばあちゃん,バーチャルオバアチャン,full,vtuber,NA,2018,current,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/youtuber/yt_6d3f41da19.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/youtuber/yt_6d3f41da19.svg,Q65095765,バーチャルおばあちゃんねる,略称はVB。,313000,2026-08-18,,,,unknown,NA
885,バーチャル美少女ねむ,バーチャル美少女ねむ,バーチャルビショウジョネム,full,vtuber,NA,2017,current,https://assets.st-note.com/production/uploads/images/126702549/profile_7e4b53cff17bdf7c921a826fb8ca39d7.jpg,https://note.com/nemchan_nel/n/na1315244c440,Q60985803,ねむちゃんねる【バーチャル美少女ねむのメタバース新世界紀行】,メタバース文化エバンジェリスト、HTC公式VIVEアンバサダー、VTuber企画プロデューサー、ブロガー、暗号通貨投資家、作家。,17500,2026-08-18,バーチャル美少女ねむ,noncommercial_fanwork,https://note.com/nemchan_nel/n/na1315244c440,unknown,NA
