id,original,surface,pronunciation,class,vertebrate,order,family,description,image,image_page,wikidata
16,ハンドウイルカ,ハンドウイルカ,ハンドウイルカ,哺乳類,脊椎動物,鯨偶蹄目,マイルカ科,短い吻と鎌形の背びれを持ち沿岸で魚やイカを反響定位により探す。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q174199
17,ミナミハンドウイルカ,ミナミハンドウイルカ,ミナミハンドウイルカ,哺乳類,脊椎動物,鯨偶蹄目,マイルカ科,温暖なインド太平洋の浅海に多く成長した個体では腹面に斑点が現れる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q370597
18,マイルカ,マイルカ,マイルカ,哺乳類,脊椎動物,鯨偶蹄目,マイルカ科,体側の砂時計形模様が特徴で外洋に大群をつくり魚やイカを追う。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,
19,スジイルカ,スジイルカ,スジイルカ,哺乳類,脊椎動物,鯨偶蹄目,マイルカ科,目から胸びれや肛門へ伸びる黒い筋があり外洋を高速で群泳する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q215332
20,ハシナガイルカ,ハシナガイルカ,ハシナガイルカ,哺乳類,脊椎動物,鯨偶蹄目,マイルカ科,細長い吻を持ち水面上で体を回転させる跳躍行動でよく知られる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q649513
21,カマイルカ,カマイルカ,カマイルカ,哺乳類,脊椎動物,鯨偶蹄目,マイルカ科,背びれ後方の淡い鎌形模様が目立ち北太平洋でイカや群泳魚を食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q300946
22,イロワケイルカ,イロワケイルカ,イロワケイルカ,哺乳類,脊椎動物,鯨偶蹄目,マイルカ科,白黒にくっきり分かれた小さな体を持ち南米沿岸などの冷水域に暮らす。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q724354
23,シロイルカ,シロイルカ,シロイルカ,哺乳類,脊椎動物,鯨偶蹄目,イッカク科,成体は白色で背びれを欠き可動性の高い首を使って北極海の氷下を泳ぐ。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q132072
24,イッカク,イッカク,イッカク,哺乳類,脊椎動物,鯨偶蹄目,イッカク科,雄では左上顎の一本の歯が長いらせん状の牙となり北極海に生息する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q159426
25,ネズミイルカ,ネズミイルカ,ネズミイルカ,哺乳類,脊椎動物,鯨偶蹄目,ネズミイルカ科,丸みのある頭と短い吻を持ち北半球の沿岸で底魚やイカを捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q27027
26,ジュゴン,ジュゴン,ジュゴン,哺乳類,脊椎動物,海牛目,ジュゴン科,下向きの口で海草を根元から食べ三日月形の尾びれで浅海を泳ぐ。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q129544
27,アメリカマナティー,アメリカマナティー,アメリカマナティー,哺乳類,脊椎動物,海牛目,マナティー科,丸い櫂形の尾を持ち河川や汽水にも入り水草を唇で引きちぎって食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q40261
28,ラッコ,ラッコ,ラッコ,哺乳類,脊椎動物,食肉目,イタチ科,海面に仰向けで浮かび石を道具に貝を割り海藻へ体を巻いて休む。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q41407
29,トド,トド,トド,哺乳類,脊椎動物,食肉目,アシカ科,雄は首回りの長い毛と大きな体を持ち北太平洋沿岸で魚やイカを食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_mammal.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_mammal.svg,Q431981
30,アオウミガメ,アオウミガメ,アオウミガメ,爬虫類,脊椎動物,カメ目,ウミガメ科,成体は海草や海藻を主に食べ体脂肪の色に由来する名を持つ。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_reptile.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_reptile.svg,Q199458
31,アカウミガメ,アカウミガメ,アカウミガメ,爬虫類,脊椎動物,カメ目,ウミガメ科,大きな頭と強い顎で貝やカニを砕き温帯から亜熱帯の砂浜へ産卵する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_reptile.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_reptile.svg,Q192095
32,タイマイ,タイマイ,タイマイ,爬虫類,脊椎動物,カメ目,ウミガメ科,細く尖った嘴でサンゴ礁の隙間から海綿を引き出して主食とする。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_reptile.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_reptile.svg,Q203538
33,ヒメウミガメ,ヒメウミガメ,ヒメウミガメ,爬虫類,脊椎動物,カメ目,ウミガメ科,オリーブ色の丸い甲羅を持ち多数の雌が同時に上陸する集団産卵を行う。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_reptile.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_reptile.svg,Q282385
34,ケンプヒメウミガメ,ケンプヒメウミガメ,ケンプヒメウミガメ,爬虫類,脊椎動物,カメ目,ウミガメ科,メキシコ湾を中心に暮らし雌が大群で同じ浜へ上陸する集団産卵を行う。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_reptile.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_reptile.svg,Q301089
35,ヒラタウミガメ,ヒラタウミガメ,ヒラタウミガメ,爬虫類,脊椎動物,カメ目,ウミガメ科,縁の反り返りが少ない扁平な甲羅を持ちオーストラリア周辺の浅海に限られる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_reptile.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_reptile.svg,Q372997
36,オサガメ,オサガメ,オサガメ,爬虫類,脊椎動物,カメ目,オサガメ科,角質の甲板がない革状の甲羅を持ち外洋を広く回遊してクラゲを食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_reptile.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_reptile.svg,Q120043
37,エラブウミヘビ,エラブウミヘビ,エラブウミヘビ,爬虫類,脊椎動物,有鱗目,コブラ科,太い胴と縞模様を持ち陸上で産卵するため南西諸島の海岸へ上がる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_reptile.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_reptile.svg,Q2372555
38,ヒロオウミヘビ,ヒロオウミヘビ,ヒロオウミヘビ,爬虫類,脊椎動物,有鱗目,コブラ科,幅広く扁平な尾を持ちサンゴ礁でウツボなどの細長い魚を捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_reptile.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_reptile.svg,Q1907959
39,アオマダラウミヘビ,アオマダラウミヘビ,アオマダラウミヘビ,爬虫類,脊椎動物,有鱗目,コブラ科,青みを帯びた地色に黒い帯が並び南西諸島の岩礁やサンゴ礁に暮らす。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_reptile.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_reptile.svg,Q383702
40,クロガシラウミヘビ,クロガシラウミヘビ,クロガシラウミヘビ,爬虫類,脊椎動物,有鱗目,コブラ科,黒い頭部と明瞭な横帯が特徴で浅いサンゴ礁に入り魚類を捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_reptile.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_reptile.svg,Q2703260
41,セグロウミヘビ,セグロウミヘビ,セグロウミヘビ,爬虫類,脊椎動物,有鱗目,コブラ科,背面が黒く腹面が黄色い二色の体を持ち一生を外洋で過ごす。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_reptile.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_reptile.svg,Q1247379
42,ジンベエザメ,ジンベエザメ,ジンベエザメ,魚類,脊椎動物,テンジクザメ目,ジンベエザメ科,白い斑点のある巨大な体で海面近くを泳ぎプランクトンや小魚をこし取る。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q80378
43,ウバザメ,ウバザメ,ウバザメ,魚類,脊椎動物,ネズミザメ目,ウバザメ科,大きく開く口と長い鰓裂を持ち寒冷な海で動物プランクトンをろ過する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q185260
44,ホホジロザメ,ホホジロザメ,ホホジロザメ,魚類,脊椎動物,ネズミザメ目,ネズミザメ科,鋸歯状の大きな歯と円錐形の吻を持ち沿岸で魚類や海獣を捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q129026
45,アオザメ,アオザメ,アオザメ,魚類,脊椎動物,ネズミザメ目,ネズミザメ科,紡錘形の体と尖った吻を持ち外洋を高速で泳いでマグロ類などを追う。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q192158
46,ネズミザメ,ネズミザメ,ネズミザメ,魚類,脊椎動物,ネズミザメ目,ネズミザメ科,体温を海水より高く保つ能力があり北太平洋の冷水域でサケ類を捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q74371
47,ニタリ,ニタリ,ニタリ,魚類,脊椎動物,ネズミザメ目,オナガザメ科,上葉が著しく長い尾びれを振って小魚の群れを打ち弱らせて捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q1274522
48,ヨシキリザメ,ヨシキリザメ,ヨシキリザメ,魚類,脊椎動物,メジロザメ目,メジロザメ科,細長い体と長い胸びれを持ち外洋を広く回遊して魚やイカを食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q26337
49,イタチザメ,イタチザメ,イタチザメ,魚類,脊椎動物,メジロザメ目,メジロザメ科,虎状の暗色帯を持つ幼魚から大型化し硬い甲羅のウミガメも捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,
50,オオメジロザメ,オオメジロザメ,オオメジロザメ,魚類,脊椎動物,メジロザメ目,メジロザメ科,海水と淡水の双方へ適応し河川を遡って魚類や甲殻類を捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q190469
51,ツマグロ,ツマグロ,ツマグロ,魚類,脊椎動物,メジロザメ目,メジロザメ科,各ひれの先端が黒く染まり熱帯の浅いサンゴ礁や礁湖を活発に泳ぐ。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q726384
52,シロワニ,シロワニ,シロワニ,魚類,脊椎動物,ネズミザメ目,シロワニ科,口から針状の歯が常に見え沿岸の洞窟周辺で魚やエイを捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q625161
53,トラフザメ,トラフザメ,トラフザメ,魚類,脊椎動物,テンジクザメ目,トラフザメ科,成魚は体に暗色の斑点が並び海底で休みながら貝や甲殻類を食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q169468
54,ネコザメ,ネコザメ,ネコザメ,魚類,脊椎動物,ネコザメ目,ネコザメ科,豚のような吻と臼歯状の奥歯を使い海底の貝やウニを殻ごと砕く。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q762929
55,カスザメ,カスザメ,カスザメ,魚類,脊椎動物,カスザメ目,カスザメ科,エイに似た扁平な体を砂へ埋め頭上を通る魚を待ち伏せて捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q28832
56,ノコギリザメ,ノコギリザメ,ノコギリザメ,魚類,脊椎動物,ノコギリザメ目,ノコギリザメ科,吻から伸びる鋸状器官を左右に振り海底の魚や甲殻類を探して捕らえる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q29113
57,シュモクザメ,シュモクザメ,シュモクザメ,魚類,脊椎動物,メジロザメ目,シュモクザメ科,左右へ張り出した頭部の両端に目があり広い範囲を見渡して獲物を探す。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,
58,アカシュモクザメ,アカシュモクザメ,アカシュモクザメ,魚類,脊椎動物,メジロザメ目,シュモクザメ科,頭部前縁中央のくぼみが深く暖海の沿岸で魚や頭足類を捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q873701
59,オニイトマキエイ,オニイトマキエイ,オニイトマキエイ,魚類,脊椎動物,トビエイ目,イトマキエイ科,口の前にある頭鰭でプランクトンを集め外洋を長距離回遊する大型のエイ。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q321976
60,ナンヨウマンタ,ナンヨウマンタ,ナンヨウマンタ,魚類,脊椎動物,トビエイ目,イトマキエイ科,腹面に斑点模様がありサンゴ礁周辺で動物プランクトンをろ過して食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q1620164
61,マダラトビエイ,マダラトビエイ,マダラトビエイ,魚類,脊椎動物,トビエイ目,マダラトビエイ科,背面の白い斑点と長い尾が目立ち海底の二枚貝を硬い歯板で砕く。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q5033530
62,アカエイ,アカエイ,アカエイ,魚類,脊椎動物,トビエイ目,アカエイ科,尾に毒棘を備え砂泥底へ潜って貝類や甲殻類などの底生動物を食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q28776833
63,ヒラタエイ,ヒラタエイ,ヒラタエイ,魚類,脊椎動物,トビエイ目,ヒラタエイ科,丸みのある小さな体盤と短い尾を持ち沿岸の砂底で小動物を捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q1039266
64,シビレエイ,シビレエイ,シビレエイ,魚類,脊椎動物,シビレエイ目,シビレエイ科,発電器官で強い電気を起こし砂底に潜んで魚をしびれさせて捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q4668667
65,ガンギエイ,ガンギエイ,ガンギエイ,魚類,脊椎動物,ガンギエイ目,ガンギエイ科,吻が尖った菱形の体盤を持ち寒冷な海の底で甲殻類や小魚を食べる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,
66,クロマグロ,クロマグロ,クロマグロ,魚類,脊椎動物,サバ目,サバ科,胸びれが短く太い紡錘形の体で太平洋を横断しながら魚やイカを追う。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q1766955
67,ミナミマグロ,ミナミマグロ,ミナミマグロ,魚類,脊椎動物,サバ目,サバ科,南半球の冷温帯を回遊し筋肉の温度を保ちながら魚や頭足類を捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q1142258
68,メバチ,メバチ,メバチ,魚類,脊椎動物,サバ目,サバ科,大きな目で薄暗い深層の獲物を探し日中は深く夜間は浅層へ上がる。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q1122241
69,キハダ,キハダ,キハダ,魚類,脊椎動物,サバ目,サバ科,黄色い小離鰭と長い第二背びれが目立ち熱帯の外洋で魚やイカを追う。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q269781
70,ビンナガ,ビンナガ,ビンナガ,魚類,脊椎動物,サバ目,サバ科,非常に長い胸びれを持ち温帯の外洋で群れをつくって小魚を捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q239977
71,カツオ,カツオ,カツオ,魚類,脊椎動物,サバ目,サバ科,腹面に数本の黒い縦帯があり大群で小魚を追いながら広く回遊する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q633957
72,サワラ,サワラ,サワラ,魚類,脊椎動物,サバ目,サバ科,細長い体と鋭い歯を持ち沿岸の表層を泳いでイワシなどを捕食する。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q247720
73,シイラ,シイラ,シイラ,魚類,脊椎動物,アジ目,シイラ科,雄は額が高く張り出し流木などの漂流物の下に集まって小魚を狙う。,https://raw.githubusercontent.com/soramimic/soramimic-wordlists/main/images/marine_life/marine_fish.svg,https://github.com/soramimic/soramimic-wordlists/blob/main/images/marine_life/marine_fish.svg,Q14443
