id,original,surface,pronunciation,type,image,image_page,birth_year,death_year,nationality,field,achievement
12,アウルス・セレニウス,セレニウス,セレニウス,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0013.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,3世紀,不明,イタリア,光学,鏡面に映る像の幾何学的歪曲規則の記述
12,アウルス・セレニウス,アウルス・セレニウス,アウルス・セレニウス,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0013.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,3世紀,不明,イタリア,光学,鏡面に映る像の幾何学的歪曲規則の記述
12,アウルス・セレニウス,アウルス,アウルス,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0013.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,3世紀,不明,イタリア,光学,鏡面に映る像の幾何学的歪曲規則の記述
13,ヴィドヤーナンダ,ヴィドヤーナンダ,ヴィドヤーナンダ,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0014.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,4世紀,不明,インド,光学,屈折現象の解析と数学的表現の提唱
14,鄒景昭,鄒,そう,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0015.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,2世紀,不明,中国,光学,色彩連続性の観察と紅玉分光による初期理論
14,鄒景昭,鄒景昭,そうけいしょう,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0015.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,2世紀,不明,中国,光学,色彩連続性の観察と紅玉分光による初期理論
14,鄒景昭,景昭,けいしょう,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0015.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,2世紀,不明,中国,光学,色彩連続性の観察と紅玉分光による初期理論
15,マリヤム・ハリモヴァ,ハリモヴァ,ハリモヴァ,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0016.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,6世紀,不明,ウズベキスタン,天文学・宇宙論,移動星座と季節気温変動の対応関係解明
15,マリヤム・ハリモヴァ,マリヤム・ハリモヴァ,マリヤム・ハリモヴァ,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0016.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,6世紀,不明,ウズベキスタン,天文学・宇宙論,移動星座と季節気温変動の対応関係解明
15,マリヤム・ハリモヴァ,マリヤム,マリヤム,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0016.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,6世紀,不明,ウズベキスタン,天文学・宇宙論,移動星座と季節気温変動の対応関係解明
16,バステト・ネブル,バステト,バステト,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0017.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,2世紀,不明,エジプト,天文学・宇宙論,惑星運行表と星座間移動記録の整理体系
16,バステト・ネブル,バステト・ネブル,バステト・ネブル,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0017.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,2世紀,不明,エジプト,天文学・宇宙論,惑星運行表と星座間移動記録の整理体系
16,バステト・ネブル,ネブル,ネブル,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0017.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,2世紀,不明,エジプト,天文学・宇宙論,惑星運行表と星座間移動記録の整理体系
17,チャムピー・バラティ,チャムピー,チャムピー,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0018.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,4世紀,不明,インド,数学・幾何学,寺院幾何文様における相似変換法の確立
17,チャムピー・バラティ,チャムピー・バラティ,チャムピー・バラティ,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0018.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,4世紀,不明,インド,数学・幾何学,寺院幾何文様における相似変換法の確立
17,チャムピー・バラティ,バラティ,バラティ,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0018.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,4世紀,不明,インド,数学・幾何学,寺院幾何文様における相似変換法の確立
18,ヴィディヤ・シャンカル,シャンカル,シャンカル,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0019.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,2世紀,不明,インド,数学・幾何学,自然現象に基づく独自曲線分割法の創出
18,ヴィディヤ・シャンカル,ヴィディヤ・シャンカル,ヴィディヤ・シャンカル,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0019.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,2世紀,不明,インド,数学・幾何学,自然現象に基づく独自曲線分割法の創出
18,ヴィディヤ・シャンカル,ヴィディヤ,ヴィディヤ,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0019.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,2世紀,不明,インド,数学・幾何学,自然現象に基づく独自曲線分割法の創出
19,ザヒード・カリムフ,カリムフ,カリムフ,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0020.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,5世紀,不明,ウズベキスタン,数学・幾何学,三角分割法と実用几何に基づく帳幕配置理論
19,ザヒード・カリムフ,ザヒード・カリムフ,ザヒード・カリムフ,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0020.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,5世紀,不明,ウズベキスタン,数学・幾何学,三角分割法と実用几何に基づく帳幕配置理論
19,ザヒード・カリムフ,ザヒード,ザヒード,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0020.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,5世紀,不明,ウズベキスタン,数学・幾何学,三角分割法と実用几何に基づく帳幕配置理論
20,宋泉月,宋,そう,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0021.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,3世紀,不明,中国,数学・幾何学,古代中国装飾文様の対称性分類体系構築
20,宋泉月,宋泉月,そうせんげつ,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0021.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,3世紀,不明,中国,数学・幾何学,古代中国装飾文様の対称性分類体系構築
20,宋泉月,泉月,せんげつ,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0021.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,3世紀,不明,中国,数学・幾何学,古代中国装飾文様の対称性分類体系構築
21,ラミース・ザマン,ザマン,ザマン,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0022.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,3世紀,不明,イラン,自然哲学,乾燥地帯の風紋分布に基づく自然生成理論の構築
21,ラミース・ザマン,ラミース・ザマン,ラミース・ザマン,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0022.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,3世紀,不明,イラン,自然哲学,乾燥地帯の風紋分布に基づく自然生成理論の構築
21,ラミース・ザマン,ラミース,ラミース,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0022.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,3世紀,不明,イラン,自然哲学,乾燥地帯の風紋分布に基づく自然生成理論の構築
22,プタホテプ,プタホテプ,プタホテプ,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0023.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,4世紀,不明,エジプト,自然哲学,ナイル流域における環境変動観察の体系化
23,ヒュリア,ヒュリア,ヒュリア,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0024.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,5世紀,不明,ギリシャ,自然哲学,湧泉生成メカニズムの自然哲学的解釈
24,テアンプシア,テアンプシア,テアンプシア,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0025.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,1世紀,不明,ギリシャ,自然哲学,樹皮の腐敗特性と気候条件の体系的分析
25,マフリヤ・ファズリヤ,ファズリヤ,ファズリヤ,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0026.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,10世紀,不明,ウズベキスタン,光学,筆写用羊皮紙の反射特性変化に関する記録
25,マフリヤ・ファズリヤ,マフリヤ・ファズリヤ,マフリヤ・ファズリヤ,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0026.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,10世紀,不明,ウズベキスタン,光学,筆写用羊皮紙の反射特性変化に関する記録
25,マフリヤ・ファズリヤ,マフリヤ,マフリヤ,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0026.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,10世紀,不明,ウズベキスタン,光学,筆写用羊皮紙の反射特性変化に関する記録
26,タヒレ・ラシュティ,ラシュティ,ラシュティ,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0027.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,9世紀,不明,イラン,力学,河川漂石運動と流水力の関係理論の初期提示
26,タヒレ・ラシュティ,タヒレ・ラシュティ,タヒレ・ラシュティ,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0027.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,9世紀,不明,イラン,力学,河川漂石運動と流水力の関係理論の初期提示
26,タヒレ・ラシュティ,タヒレ,タヒレ,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0027.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,9世紀,不明,イラン,力学,河川漂石運動と流水力の関係理論の初期提示
27,アニカ・シンハ,シンハ,シンハ,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0028.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,10世紀,不明,インド,力学,重り落下運動による摩擦係数の初期的分類
27,アニカ・シンハ,アニカ・シンハ,アニカ・シンハ,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0028.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,10世紀,不明,インド,力学,重り落下運動による摩擦係数の初期的分類
27,アニカ・シンハ,アニカ,アニカ,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0028.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,10世紀,不明,インド,力学,重り落下運動による摩擦係数の初期的分類
28,アムナ・ファリーダ,アムナ,アムナ,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0029.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,10世紀,不明,エジプト,力学,張力と構造物の安定性に関する観察記録
28,アムナ・ファリーダ,アムナ・ファリーダ,アムナ・ファリーダ,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0029.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,10世紀,不明,エジプト,力学,張力と構造物の安定性に関する観察記録
28,アムナ・ファリーダ,ファリーダ,ファリーダ,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0029.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,10世紀,不明,エジプト,力学,張力と構造物の安定性に関する観察記録
29,デーヴァンドラー,デーヴァンドラー,デーヴァンドラー,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0030.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,8世紀,不明,インド,天文学・宇宙論,彗星観測と農耕暦の関係に関する記録体系の創出
30,ヴィクラマ・ジャヤシンガ,ヴィクラマ,ヴィクラマ,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0031.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,8世紀,不明,インド,天文学・宇宙論,恒星観測による宇宙階層構造説の提唱
30,ヴィクラマ・ジャヤシンガ,ヴィクラマ・ジャヤシンガ,ヴィクラマ・ジャヤシンガ,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0031.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,8世紀,不明,インド,天文学・宇宙論,恒星観測による宇宙階層構造説の提唱
30,ヴィクラマ・ジャヤシンガ,ジャヤシンガ,ジャヤシンガ,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0031.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,8世紀,不明,インド,天文学・宇宙論,恒星観測による宇宙階層構造説の提唱
31,ナーリマ・ムハンマド,ムハンマド,ムハンマド,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0032.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,10世紀,不明,エジプト,天文学・宇宙論,天体現象の同時記録による周期対応表の作成
31,ナーリマ・ムハンマド,ナーリマ・ムハンマド,ナーリマ・ムハンマド,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0032.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,10世紀,不明,エジプト,天文学・宇宙論,天体現象の同時記録による周期対応表の作成
31,ナーリマ・ムハンマド,ナーリマ,ナーリマ,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0032.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,10世紀,不明,エジプト,天文学・宇宙論,天体現象の同時記録による周期対応表の作成
32,ファリディヤ・ザマーン,ザマーン,ザマーン,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0033.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,7世紀,不明,イラン,実験自然学,地下水蒸気の採取実験法と器具の考案
32,ファリディヤ・ザマーン,ファリディヤ・ザマーン,ファリディヤ・ザマーン,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0033.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,7世紀,不明,イラン,実験自然学,地下水蒸気の採取実験法と器具の考案
32,ファリディヤ・ザマーン,ファリディヤ,ファリディヤ,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0033.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,7世紀,不明,イラン,実験自然学,地下水蒸気の採取実験法と器具の考案
33,グルネザル・アブディコロヴナ,グルネザル,グルネザル,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0034.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,9世紀,不明,ウズベキスタン,実験自然学,薬草保存法と露採取の実験体系化
33,グルネザル・アブディコロヴナ,グルネザル・アブディコロヴナ,グルネザル・アブディコロヴナ,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0034.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,9世紀,不明,ウズベキスタン,実験自然学,薬草保存法と露採取の実験体系化
33,グルネザル・アブディコロヴナ,アブディコロヴナ,アブディコロヴナ,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0034.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,9世紀,不明,ウズベキスタン,実験自然学,薬草保存法と露採取の実験体系化
34,ラヒマ・ナフダー,ナフダー,ナフダー,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0035.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,8世紀,不明,イラン,数学・幾何学,イスラーム建築細工の多角形分割理論の構築
34,ラヒマ・ナフダー,ラヒマ・ナフダー,ラヒマ・ナフダー,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0035.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,8世紀,不明,イラン,数学・幾何学,イスラーム建築細工の多角形分割理論の構築
34,ラヒマ・ナフダー,ラヒマ,ラヒマ,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0035.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,8世紀,不明,イラン,数学・幾何学,イスラーム建築細工の多角形分割理論の構築
35,ビシュヌデーヴァ,ビシュヌデーヴァ,ビシュヌデーヴァ,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0036.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,7世紀,不明,インド,数学・幾何学,数牌遊戯から導く階差数列の分類法
36,梁 瑤,梁,りょう,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0037.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,7世紀,不明,中国,数学・幾何学,不整形土地の面積計算法の初歩的体系化
36,梁 瑤,梁 瑤,りょうよう,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0037.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,7世紀,不明,中国,数学・幾何学,不整形土地の面積計算法の初歩的体系化
36,梁 瑤,瑤,よう,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0037.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,7世紀,不明,中国,数学・幾何学,不整形土地の面積計算法の初歩的体系化
37,陳智蘭,陳,ちん,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0038.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,7世紀,不明,中国,数学・幾何学,装飾文様を基にした周期数列の数学的分類
37,陳智蘭,陳智蘭,ちんちらん,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0038.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,7世紀,不明,中国,数学・幾何学,装飾文様を基にした周期数列の数学的分類
37,陳智蘭,智蘭,ちらん,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0038.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,7世紀,不明,中国,数学・幾何学,装飾文様を基にした周期数列の数学的分類
38,藤原 まりあ,藤原,ふじわら,family,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0039.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,8世紀,不明,日本,数学・幾何学,韻律構造の幾何的可視化と数理的分類
38,藤原 まりあ,藤原 まりあ,ふじわらまりあ,full,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0039.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,8世紀,不明,日本,数学・幾何学,韻律構造の幾何的可視化と数理的分類
38,藤原 まりあ,まりあ,まりあ,given,https://github.com/soramimic/soramimic-wordlists/releases/download/fictional-scientist-v2/fs_0039.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/fictional-scientist-v2,8世紀,不明,日本,数学・幾何学,韻律構造の幾何的可視化と数理的分類
