id,original,surface,pronunciation,type,prefecture,parent,status,population,code,description,image,image_page,wikidata
5,豊平区,豊平区,トヨヒラク,full,北海道,札幌市,current,225298,011053,札幌市の行政区。,http://commons.wikimedia.org/wiki/Special:FilePath/Toyohira_ward_office.JPG,https://commons.wikimedia.org/wiki/File:Toyohira_ward_office.JPG,Q1134225
5,豊平区,豊平,トヨヒラ,short,北海道,札幌市,current,225298,011053,札幌市の行政区。,http://commons.wikimedia.org/wiki/Special:FilePath/Toyohira_ward_office.JPG,https://commons.wikimedia.org/wiki/File:Toyohira_ward_office.JPG,Q1134225
6,南区,南区,ミナミク,full,北海道,札幌市,current,135777,011061,札幌市の行政区。札幌市10区の中で最も広い面積を持ち、全市域の約60%を占めている。また、政令指定都市の行政区の中では静岡市葵区、浜松市天竜区に次ぐ3番目の広さを有する。,http://commons.wikimedia.org/wiki/Special:FilePath/SapporoMinamiKuyakusho.jpg,https://commons.wikimedia.org/wiki/File:SapporoMinamiKuyakusho.jpg,Q1134027
6,南区,南,ミナミ,short,北海道,札幌市,current,135777,011061,札幌市の行政区。札幌市10区の中で最も広い面積を持ち、全市域の約60%を占めている。また、政令指定都市の行政区の中では静岡市葵区、浜松市天竜区に次ぐ3番目の広さを有する。,http://commons.wikimedia.org/wiki/Special:FilePath/SapporoMinamiKuyakusho.jpg,https://commons.wikimedia.org/wiki/File:SapporoMinamiKuyakusho.jpg,Q1134027
7,西区,西区,ニシク,full,北海道,札幌市,current,217040,011070,札幌市の行政区。札幌市10区の中で南区に次ぐ2番目に広い面積を持つ。,http://commons.wikimedia.org/wiki/Special:FilePath/Nishi_Ward_Office_in_Sapporo.jpg,https://commons.wikimedia.org/wiki/File:Nishi_Ward_Office_in_Sapporo.jpg,Q1135640
7,西区,西,ニシ,short,北海道,札幌市,current,217040,011070,札幌市の行政区。札幌市10区の中で南区に次ぐ2番目に広い面積を持つ。,http://commons.wikimedia.org/wiki/Special:FilePath/Nishi_Ward_Office_in_Sapporo.jpg,https://commons.wikimedia.org/wiki/File:Nishi_Ward_Office_in_Sapporo.jpg,Q1135640
8,厚別区,厚別区,アツベツク,full,北海道,札幌市,current,125083,011088,札幌市の行政区。,http://commons.wikimedia.org/wiki/Special:FilePath/Atsubetsu_Ward_Office_in_Sapporo.jpg,https://commons.wikimedia.org/wiki/File:Atsubetsu_Ward_Office_in_Sapporo.jpg,Q1134346
8,厚別区,厚別,アツベツ,short,北海道,札幌市,current,125083,011088,札幌市の行政区。,http://commons.wikimedia.org/wiki/Special:FilePath/Atsubetsu_Ward_Office_in_Sapporo.jpg,https://commons.wikimedia.org/wiki/File:Atsubetsu_Ward_Office_in_Sapporo.jpg,Q1134346
9,手稲区,手稲区,テイネク,full,北海道,札幌市,current,142625,011096,札幌市の行政区。,http://commons.wikimedia.org/wiki/Special:FilePath/TeineKuyakusho2005-1-18.jpg,https://commons.wikimedia.org/wiki/File:TeineKuyakusho2005-1-18.jpg,Q1134339
9,手稲区,手稲,テイネ,short,北海道,札幌市,current,142625,011096,札幌市の行政区。,http://commons.wikimedia.org/wiki/Special:FilePath/TeineKuyakusho2005-1-18.jpg,https://commons.wikimedia.org/wiki/File:TeineKuyakusho2005-1-18.jpg,Q1134339
10,清田区,清田区,キヨタク,full,北海道,札幌市,current,112355,011100,札幌市の行政区。区名は、厚別川沿いの低地に広がる美しい清らかな水田地帯という意味でつけられた字名に由来している。,http://commons.wikimedia.org/wiki/Special:FilePath/Kiyota_Ward_Office_in_Sapporo.jpg,https://commons.wikimedia.org/wiki/File:Kiyota_Ward_Office_in_Sapporo.jpg,Q1134019
10,清田区,清田,キヨタ,short,北海道,札幌市,current,112355,011100,札幌市の行政区。区名は、厚別川沿いの低地に広がる美しい清らかな水田地帯という意味でつけられた字名に由来している。,http://commons.wikimedia.org/wiki/Special:FilePath/Kiyota_Ward_Office_in_Sapporo.jpg,https://commons.wikimedia.org/wiki/File:Kiyota_Ward_Office_in_Sapporo.jpg,Q1134019
11,函館市,函館市,ハコダテシ,full,北海道,,current,251084,012025,北海道南部に位置し、渡島総合振興局に属する市。振興局所在地であり、札幌市・旭川市に次ぐ北海道第3位の人口（約24万人）を有する中核市である。,http://commons.wikimedia.org/wiki/Special:FilePath/View_from_Mt.Hakodate_%28Hakodateyama%29%2CHakodate_Hokkaido%2C_Japan_27_April_2016_-_panoramio.jpg,https://commons.wikimedia.org/wiki/File:View_from_Mt.Hakodate_%28Hakodateyama%29%2CHakodate_Hokkaido%2C_Japan_27_April_2016_-_panoramio.jpg,Q26418
11,函館市,函館,ハコダテ,short,北海道,,current,251084,012025,北海道南部に位置し、渡島総合振興局に属する市。振興局所在地であり、札幌市・旭川市に次ぐ北海道第3位の人口（約24万人）を有する中核市である。,http://commons.wikimedia.org/wiki/Special:FilePath/View_from_Mt.Hakodate_%28Hakodateyama%29%2CHakodate_Hokkaido%2C_Japan_27_April_2016_-_panoramio.jpg,https://commons.wikimedia.org/wiki/File:View_from_Mt.Hakodate_%28Hakodateyama%29%2CHakodate_Hokkaido%2C_Japan_27_April_2016_-_panoramio.jpg,Q26418
12,小樽市,小樽市,オタルシ,full,北海道,,current,111299,012033,北海道西部に位置し、後志総合振興局に属する唯一の市。保健所政令市・計量特定市に指定されているが、振興局所在地ではない。札幌市との近さから札幌都市圏に含まれる。,http://commons.wikimedia.org/wiki/Special:FilePath/Otaru_from_Tenguyama.JPG,https://commons.wikimedia.org/wiki/File:Otaru_from_Tenguyama.JPG,Q242108
12,小樽市,小樽,オタル,short,北海道,,current,111299,012033,北海道西部に位置し、後志総合振興局に属する唯一の市。保健所政令市・計量特定市に指定されているが、振興局所在地ではない。札幌市との近さから札幌都市圏に含まれる。,http://commons.wikimedia.org/wiki/Special:FilePath/Otaru_from_Tenguyama.JPG,https://commons.wikimedia.org/wiki/File:Otaru_from_Tenguyama.JPG,Q242108
13,旭川市,旭川市,アサヒカワシ,full,北海道,,current,329306,012041,北海道のほぼ中央に位置し、上川総合振興局に属する市。振興局所在地であり、札幌市に次ぐ北海道第2位の人口（約31万人）を有する中核市である。,http://commons.wikimedia.org/wiki/Special:FilePath/Asahikawa_Montage.jpg,https://commons.wikimedia.org/wiki/File:Asahikawa_Montage.jpg,Q200740
13,旭川市,旭川,アサヒカワ,short,北海道,,current,329306,012041,北海道のほぼ中央に位置し、上川総合振興局に属する市。振興局所在地であり、札幌市に次ぐ北海道第2位の人口（約31万人）を有する中核市である。,http://commons.wikimedia.org/wiki/Special:FilePath/Asahikawa_Montage.jpg,https://commons.wikimedia.org/wiki/File:Asahikawa_Montage.jpg,Q200740
14,室蘭市,室蘭市,ムロランシ,full,北海道,,current,82383,012050,北海道西南部にある市。胆振総合振興局の振興局所在地。計量特定市。明治初期、戊辰戦争で敗れた仙台藩の一門筆頭・角田石川氏の家臣団の集団移住により、現地の開拓が始まる。,http://commons.wikimedia.org/wiki/Special:FilePath/Mt._Sokuryozan.jpg,https://commons.wikimedia.org/wiki/File:Mt._Sokuryozan.jpg,Q496667
14,室蘭市,室蘭,ムロラン,short,北海道,,current,82383,012050,北海道西南部にある市。胆振総合振興局の振興局所在地。計量特定市。明治初期、戊辰戦争で敗れた仙台藩の一門筆頭・角田石川氏の家臣団の集団移住により、現地の開拓が始まる。,http://commons.wikimedia.org/wiki/Special:FilePath/Mt._Sokuryozan.jpg,https://commons.wikimedia.org/wiki/File:Mt._Sokuryozan.jpg,Q496667
15,釧路市,釧路市,クシロシ,full,北海道,,current,165077,012068,北海道東部の太平洋沿岸にある市。釧路総合振興局の振興局所在地。計量特定市に指定されている。,http://commons.wikimedia.org/wiki/Special:FilePath/Kushiro_montages.JPG,https://commons.wikimedia.org/wiki/File:Kushiro_montages.JPG,Q271917
15,釧路市,釧路,クシロ,short,北海道,,current,165077,012068,北海道東部の太平洋沿岸にある市。釧路総合振興局の振興局所在地。計量特定市に指定されている。,http://commons.wikimedia.org/wiki/Special:FilePath/Kushiro_montages.JPG,https://commons.wikimedia.org/wiki/File:Kushiro_montages.JPG,Q271917
16,帯広市,帯広市,オビヒロシ,full,北海道,,current,166536,012076,北海道南東部にある市。十勝総合振興局の振興局所在地。計量特定市。,http://commons.wikimedia.org/wiki/Special:FilePath/ObihiroMainSummer.jpg,https://commons.wikimedia.org/wiki/File:ObihiroMainSummer.jpg,Q177149
16,帯広市,帯広,オビヒロ,short,北海道,,current,166536,012076,北海道南東部にある市。十勝総合振興局の振興局所在地。計量特定市。,http://commons.wikimedia.org/wiki/Special:FilePath/ObihiroMainSummer.jpg,https://commons.wikimedia.org/wiki/File:ObihiroMainSummer.jpg,Q177149
17,北見市,北見市,キタミシ,full,北海道,,current,115480,012084,北海道北東部に位置する市。オホーツク総合振興局の中心都市。,http://commons.wikimedia.org/wiki/Special:FilePath/JRH-Kitami-STA_Free-passage-entrance.jpg,https://commons.wikimedia.org/wiki/File:JRH-Kitami-STA_Free-passage-entrance.jpg,Q265555
17,北見市,北見,キタミ,short,北海道,,current,115480,012084,北海道北東部に位置する市。オホーツク総合振興局の中心都市。,http://commons.wikimedia.org/wiki/Special:FilePath/JRH-Kitami-STA_Free-passage-entrance.jpg,https://commons.wikimedia.org/wiki/File:JRH-Kitami-STA_Free-passage-entrance.jpg,Q265555
18,夕張市,夕張市,ユウバリシ,full,北海道,,current,7334,012092,北海道のほぼ中央に位置し、空知総合振興局に所属する市。夕張メロンの産地として知られる。,http://commons.wikimedia.org/wiki/Special:FilePath/Hokkaidodo_38_Yubari_City1.JPG,https://commons.wikimedia.org/wiki/File:Hokkaidodo_38_Yubari_City1.JPG,Q637145
18,夕張市,夕張,ユウバリ,short,北海道,,current,7334,012092,北海道のほぼ中央に位置し、空知総合振興局に所属する市。夕張メロンの産地として知られる。,http://commons.wikimedia.org/wiki/Special:FilePath/Hokkaidodo_38_Yubari_City1.JPG,https://commons.wikimedia.org/wiki/File:Hokkaidodo_38_Yubari_City1.JPG,Q637145
19,岩見沢市,岩見沢市,イワミザワシ,full,北海道,,current,79306,012106,北海道中西部の市。空知総合振興局の振興局所在地。北海道最古の鉄道路線が開業した地であり、道内における陸上交通の要衝の一つである。,http://commons.wikimedia.org/wiki/Special:FilePath/Iwamizawa_City_Hall.jpg,https://commons.wikimedia.org/wiki/File:Iwamizawa_City_Hall.jpg,Q693264
19,岩見沢市,岩見沢,イワミザワ,short,北海道,,current,79306,012106,北海道中西部の市。空知総合振興局の振興局所在地。北海道最古の鉄道路線が開業した地であり、道内における陸上交通の要衝の一つである。,http://commons.wikimedia.org/wiki/Special:FilePath/Iwamizawa_City_Hall.jpg,https://commons.wikimedia.org/wiki/File:Iwamizawa_City_Hall.jpg,Q693264
20,網走市,網走市,アバシリシ,full,北海道,,current,35759,012114,北海道北東部にある市。オホーツク総合振興局の振興局所在地でオホーツク圏における中核都市である。,http://commons.wikimedia.org/wiki/Special:FilePath/Abashiri01.JPG,https://commons.wikimedia.org/wiki/File:Abashiri01.JPG,Q305640
20,網走市,網走,アバシリ,short,北海道,,current,35759,012114,北海道北東部にある市。オホーツク総合振興局の振興局所在地でオホーツク圏における中核都市である。,http://commons.wikimedia.org/wiki/Special:FilePath/Abashiri01.JPG,https://commons.wikimedia.org/wiki/File:Abashiri01.JPG,Q305640
21,留萌市,留萌市,ルモイシ,full,北海道,,current,20114,012122,北海道北西部の市。留萌振興局の振興局所在地。,http://commons.wikimedia.org/wiki/Special:FilePath/%E5%8D%83%E6%9C%9B%E5%8F%B0%EF%BC%88Senboudai%EF%BC%89_-_panoramio_%281%29.jpg,https://commons.wikimedia.org/wiki/File:%E5%8D%83%E6%9C%9B%E5%8F%B0%EF%BC%88Senboudai%EF%BC%89_-_panoramio_%281%29.jpg,Q714628
21,留萌市,留萌,ルモイ,short,北海道,,current,20114,012122,北海道北西部の市。留萌振興局の振興局所在地。,http://commons.wikimedia.org/wiki/Special:FilePath/%E5%8D%83%E6%9C%9B%E5%8F%B0%EF%BC%88Senboudai%EF%BC%89_-_panoramio_%281%29.jpg,https://commons.wikimedia.org/wiki/File:%E5%8D%83%E6%9C%9B%E5%8F%B0%EF%BC%88Senboudai%EF%BC%89_-_panoramio_%281%29.jpg,Q714628
22,苫小牧市,苫小牧市,トマコマイシ,full,北海道,,current,170113,012131,北海道西南部の胆振総合振興局にある市。計量特定市。,http://commons.wikimedia.org/wiki/Special:FilePath/Tomakomai_from_an_aeroplane.jpg,https://commons.wikimedia.org/wiki/File:Tomakomai_from_an_aeroplane.jpg,Q390413
22,苫小牧市,苫小牧,トマコマイ,short,北海道,,current,170113,012131,北海道西南部の胆振総合振興局にある市。計量特定市。,http://commons.wikimedia.org/wiki/Special:FilePath/Tomakomai_from_an_aeroplane.jpg,https://commons.wikimedia.org/wiki/File:Tomakomai_from_an_aeroplane.jpg,Q390413
23,稚内市,稚内市,ワッカナイシ,full,北海道,,current,33563,012149,北海道北部にある市。沖合漁業を中心とする水産都市として発展した、宗谷地域に位置する北海道北部の中核都市で、宗谷総合振興局の振興局所在地である。,http://commons.wikimedia.org/wiki/Special:FilePath/Wakkanai_harbor.JPG,https://commons.wikimedia.org/wiki/File:Wakkanai_harbor.JPG,Q267894
23,稚内市,稚内,ワッカナイ,short,北海道,,current,33563,012149,北海道北部にある市。沖合漁業を中心とする水産都市として発展した、宗谷地域に位置する北海道北部の中核都市で、宗谷総合振興局の振興局所在地である。,http://commons.wikimedia.org/wiki/Special:FilePath/Wakkanai_harbor.JPG,https://commons.wikimedia.org/wiki/File:Wakkanai_harbor.JPG,Q267894
24,美唄市,美唄市,ビバイシ,full,北海道,,current,20413,012157,北海道の中西部に位置し、空知総合振興局に属する市。空知地方の中央部に位置し、市内を南北に国道12号と函館本線が並行して縦貫している。,http://commons.wikimedia.org/wiki/Special:FilePath/Bibai_City_office.jpg,https://commons.wikimedia.org/wiki/File:Bibai_City_office.jpg,Q817271
24,美唄市,美唄,ビバイ,short,北海道,,current,20413,012157,北海道の中西部に位置し、空知総合振興局に属する市。空知地方の中央部に位置し、市内を南北に国道12号と函館本線が並行して縦貫している。,http://commons.wikimedia.org/wiki/Special:FilePath/Bibai_City_office.jpg,https://commons.wikimedia.org/wiki/File:Bibai_City_office.jpg,Q817271
25,芦別市,芦別市,アシベツシ,full,北海道,,current,12555,012165,北海道中西部に位置し、空知総合振興局に属する市。,http://commons.wikimedia.org/wiki/Special:FilePath/Ashibetsu_Terminal.jpg,https://commons.wikimedia.org/wiki/File:Ashibetsu_Terminal.jpg,Q725311
25,芦別市,芦別,アシベツ,short,北海道,,current,12555,012165,北海道中西部に位置し、空知総合振興局に属する市。,http://commons.wikimedia.org/wiki/Special:FilePath/Ashibetsu_Terminal.jpg,https://commons.wikimedia.org/wiki/File:Ashibetsu_Terminal.jpg,Q725311
26,江別市,江別市,エベツシ,full,北海道,,current,121056,012173,北海道の石狩振興局に属する市。,http://commons.wikimedia.org/wiki/Special:FilePath/Oji_F-Tex_Ebetsu_Factory.JPG,https://commons.wikimedia.org/wiki/File:Oji_F-Tex_Ebetsu_Factory.JPG,Q496681
26,江別市,江別,エベツ,short,北海道,,current,121056,012173,北海道の石狩振興局に属する市。,http://commons.wikimedia.org/wiki/Special:FilePath/Oji_F-Tex_Ebetsu_Factory.JPG,https://commons.wikimedia.org/wiki/File:Oji_F-Tex_Ebetsu_Factory.JPG,Q496681
27,赤平市,赤平市,アカビラシ,full,北海道,,current,9698,012181,北海道の中西部に位置し、空知総合振興局に属する市。,http://commons.wikimedia.org/wiki/Special:FilePath/Akabira-sumitomo.jpg,https://commons.wikimedia.org/wiki/File:Akabira-sumitomo.jpg,Q413804
27,赤平市,赤平,アカビラ,short,北海道,,current,9698,012181,北海道の中西部に位置し、空知総合振興局に属する市。,http://commons.wikimedia.org/wiki/Special:FilePath/Akabira-sumitomo.jpg,https://commons.wikimedia.org/wiki/File:Akabira-sumitomo.jpg,Q413804
28,紋別市,紋別市,モンベツシ,full,北海道,,current,21215,012190,北海道北東部に位置し、オホーツク総合振興局に属する市。,http://commons.wikimedia.org/wiki/Special:FilePath/Monbetsu_panorama.jpg,https://commons.wikimedia.org/wiki/File:Monbetsu_panorama.jpg,Q692745
28,紋別市,紋別,モンベツ,short,北海道,,current,21215,012190,北海道北東部に位置し、オホーツク総合振興局に属する市。,http://commons.wikimedia.org/wiki/Special:FilePath/Monbetsu_panorama.jpg,https://commons.wikimedia.org/wiki/File:Monbetsu_panorama.jpg,Q692745
29,士別市,士別市,シベツシ,full,北海道,,current,17858,012203,北海道上川地方北部にある市。,http://commons.wikimedia.org/wiki/Special:FilePath/Shibetsu_city_hall.JPG,https://commons.wikimedia.org/wiki/File:Shibetsu_city_hall.JPG,Q766942
29,士別市,士別,シベツ,short,北海道,,current,17858,012203,北海道上川地方北部にある市。,http://commons.wikimedia.org/wiki/Special:FilePath/Shibetsu_city_hall.JPG,https://commons.wikimedia.org/wiki/File:Shibetsu_city_hall.JPG,Q766942
30,名寄市,名寄市,ナヨロシ,full,北海道,,current,27282,012211,北海道中北部に位置し、上川総合振興局に属する市である。,http://commons.wikimedia.org/wiki/Special:FilePath/Nayoro_City_Hall.jpg,https://commons.wikimedia.org/wiki/File:Nayoro_City_Hall.jpg,Q820725
30,名寄市,名寄,ナヨロ,short,北海道,,current,27282,012211,北海道中北部に位置し、上川総合振興局に属する市である。,http://commons.wikimedia.org/wiki/Special:FilePath/Nayoro_City_Hall.jpg,https://commons.wikimedia.org/wiki/File:Nayoro_City_Hall.jpg,Q820725
31,三笠市,三笠市,ミカサシ,full,北海道,,current,8040,012220,北海道の中西部に位置し、空知総合振興局に属する市。炭鉱で栄えていたが、相次ぐ閉山で人口が激減。過疎が進む町となり、2012年10月には人口が1万人を割り込んだ。,http://commons.wikimedia.org/wiki/Special:FilePath/Mikasa_City_Hall.jpg,https://commons.wikimedia.org/wiki/File:Mikasa_City_Hall.jpg,Q842318
31,三笠市,三笠,ミカサ,short,北海道,,current,8040,012220,北海道の中西部に位置し、空知総合振興局に属する市。炭鉱で栄えていたが、相次ぐ閉山で人口が激減。過疎が進む町となり、2012年10月には人口が1万人を割り込んだ。,http://commons.wikimedia.org/wiki/Special:FilePath/Mikasa_City_Hall.jpg,https://commons.wikimedia.org/wiki/File:Mikasa_City_Hall.jpg,Q842318
32,根室市,根室市,ネムロシ,full,北海道,,current,24636,012238,北海道東部にある市。根室振興局の振興局所在地。北海道本島最東端の自治体かつ、日本の市で最も東に位置する。,http://commons.wikimedia.org/wiki/Special:FilePath/Cape_Otiisi_2009.jpg,https://commons.wikimedia.org/wiki/File:Cape_Otiisi_2009.jpg,Q502205
32,根室市,根室,ネムロ,short,北海道,,current,24636,012238,北海道東部にある市。根室振興局の振興局所在地。北海道本島最東端の自治体かつ、日本の市で最も東に位置する。,http://commons.wikimedia.org/wiki/Special:FilePath/Cape_Otiisi_2009.jpg,https://commons.wikimedia.org/wiki/File:Cape_Otiisi_2009.jpg,Q502205
33,千歳市,千歳市,チトセシ,full,北海道,,current,97950,012246,北海道の石狩振興局に属する市。,http://commons.wikimedia.org/wiki/Special:FilePath/Chitose_street.JPG,https://commons.wikimedia.org/wiki/File:Chitose_street.JPG,Q693237
33,千歳市,千歳,チトセ,short,北海道,,current,97950,012246,北海道の石狩振興局に属する市。,http://commons.wikimedia.org/wiki/Special:FilePath/Chitose_street.JPG,https://commons.wikimedia.org/wiki/File:Chitose_street.JPG,Q693237
34,滝川市,滝川市,タキカワシ,full,北海道,,current,39490,012254,北海道の中西部に位置し、空知総合振興局に属する市。また、中空知地域の中心都市である。,http://commons.wikimedia.org/wiki/Special:FilePath/Takikawa_view_from_glider.jpg,https://commons.wikimedia.org/wiki/File:Takikawa_view_from_glider.jpg,Q842286
34,滝川市,滝川,タキカワ,short,北海道,,current,39490,012254,北海道の中西部に位置し、空知総合振興局に属する市。また、中空知地域の中心都市である。,http://commons.wikimedia.org/wiki/Special:FilePath/Takikawa_view_from_glider.jpg,https://commons.wikimedia.org/wiki/File:Takikawa_view_from_glider.jpg,Q842286
35,砂川市,砂川市,スナガワシ,full,北海道,,current,16486,012262,北海道の中西部に位置し、空知総合振興局管内に属する市。,http://commons.wikimedia.org/wiki/Special:FilePath/Sunagawa_City_Hall.jpg,https://commons.wikimedia.org/wiki/File:Sunagawa_City_Hall.jpg,Q507147
35,砂川市,砂川,スナガワ,short,北海道,,current,16486,012262,北海道の中西部に位置し、空知総合振興局管内に属する市。,http://commons.wikimedia.org/wiki/Special:FilePath/Sunagawa_City_Hall.jpg,https://commons.wikimedia.org/wiki/File:Sunagawa_City_Hall.jpg,Q507147
36,歌志内市,歌志内市,ウタシナイシ,full,北海道,,current,2989,012271,北海道の中西部に位置し、空知総合振興局に属する市。全国最少の人口を有する市である。,http://commons.wikimedia.org/wiki/Special:FilePath/Utashinai_city_hall.jpg,https://commons.wikimedia.org/wiki/File:Utashinai_city_hall.jpg,Q842279
36,歌志内市,歌志内,ウタシナイ,short,北海道,,current,2989,012271,北海道の中西部に位置し、空知総合振興局に属する市。全国最少の人口を有する市である。,http://commons.wikimedia.org/wiki/Special:FilePath/Utashinai_city_hall.jpg,https://commons.wikimedia.org/wiki/File:Utashinai_city_hall.jpg,Q842279
37,深川市,深川市,フカガワシ,full,北海道,,current,20039,012289,北海道の中西部に位置し、空知総合振興局に属する市。,http://commons.wikimedia.org/wiki/Special:FilePath/Fukagawa_City_Hall.jpg,https://commons.wikimedia.org/wiki/File:Fukagawa_City_Hall.jpg,Q817268
37,深川市,深川,フカガワ,short,北海道,,current,20039,012289,北海道の中西部に位置し、空知総合振興局に属する市。,http://commons.wikimedia.org/wiki/Special:FilePath/Fukagawa_City_Hall.jpg,https://commons.wikimedia.org/wiki/File:Fukagawa_City_Hall.jpg,Q817268
38,富良野市,富良野市,フラノシ,full,北海道,,current,21131,012297,北海道のほぼ中央部に位置し、上川総合振興局に属する市。,http://commons.wikimedia.org/wiki/Special:FilePath/Furano_Town_-_panoramio.jpg,https://commons.wikimedia.org/wiki/File:Furano_Town_-_panoramio.jpg,Q654738
38,富良野市,富良野,フラノ,short,北海道,,current,21131,012297,北海道のほぼ中央部に位置し、上川総合振興局に属する市。,http://commons.wikimedia.org/wiki/Special:FilePath/Furano_Town_-_panoramio.jpg,https://commons.wikimedia.org/wiki/File:Furano_Town_-_panoramio.jpg,Q654738
39,登別市,登別市,ノボリベツシ,full,北海道,,current,46391,012301,北海道西南部に位置し、胆振総合振興局に属する市。,http://commons.wikimedia.org/wiki/Special:FilePath/Noboribetsu_marine_park_nixe.jpg,https://commons.wikimedia.org/wiki/File:Noboribetsu_marine_park_nixe.jpg,Q428989
39,登別市,登別,ノボリベツ,short,北海道,,current,46391,012301,北海道西南部に位置し、胆振総合振興局に属する市。,http://commons.wikimedia.org/wiki/Special:FilePath/Noboribetsu_marine_park_nixe.jpg,https://commons.wikimedia.org/wiki/File:Noboribetsu_marine_park_nixe.jpg,Q428989
40,恵庭市,恵庭市,エニワシ,full,北海道,,current,70331,012319,北海道西部に位置し、石狩振興局に属する市。,http://commons.wikimedia.org/wiki/Special:FilePath/Eniwa-montage2.jpg,https://commons.wikimedia.org/wiki/File:Eniwa-montage2.jpg,Q733979
40,恵庭市,恵庭,エニワ,short,北海道,,current,70331,012319,北海道西部に位置し、石狩振興局に属する市。,http://commons.wikimedia.org/wiki/Special:FilePath/Eniwa-montage2.jpg,https://commons.wikimedia.org/wiki/File:Eniwa-montage2.jpg,Q733979
