id,original,surface,pronunciation,verified,rank,listing_units,strict_rows,regions,prefectures,description,wikidata,evidence_sources
32,藤田,藤田,フジタ,yes,28,7747,7810,2509,19,,Q24090387,person_lists|ndl|wikidata_person|jmnedict
71,上田,上田,ウエダ,yes,29,7515,7558,2390,19,上田氏は、日本の氏族。大江広元の孫佐房を祖とする中世武家の氏族（→大江氏系の上田氏）。武蔵七党西党の系統の中世武家の氏族（→武蔵七党の上田氏）。,Q24090415,person_lists|ndl|jmnedict
71,上田,上田,ウエタ,yes,29,7515,7558,2390,19,上田氏は、日本の氏族。大江広元の孫佐房を祖とする中世武家の氏族（→大江氏系の上田氏）。武蔵七党西党の系統の中世武家の氏族（→武蔵七党の上田氏）。,Q24090415,ndl|jmnedict
71,上田,上田,カミタ,yes,29,7515,7558,2390,19,上田氏は、日本の氏族。大江広元の孫佐房を祖とする中世武家の氏族（→大江氏系の上田氏）。武蔵七党西党の系統の中世武家の氏族（→武蔵七党の上田氏）。,Q24090415,ndl|jmnedict
36,中野,中野,ナカノ,yes,30,7358,7401,2357,20,,Q16877758,person_lists|ndl|jmnedict
57,松田,松田,マツダ,yes,31,7009,7056,2423,20,松田氏は、相模国足柄に発祥した藤原秀郷流波多野氏一族、並びにそれから派生したと見られる室町時代に備前国西部一帯に勢を張った家系、室町時代に奉行衆として仕えた丹後を拠点とする桓武平氏流の一族が知られている。,Q24090406,person_lists|ndl|jmnedict
100,中西,中西,ナカニシ,yes,32,6808,6914,2299,17,,Q24090478,person_lists|ndl|jmnedict
81,大西,大西,オオニシ,yes,33,6762,6812,2283,14,,Q24090449,person_lists|ndl|wikidata_person|jmnedict
109,谷口,谷口,タニグチ,yes,34,6677,6734,2327,20,,Q24090427,person_lists|ndl|wikidata_person|jmnedict
109,谷口,谷口,タニクチ,yes,34,6677,6734,2327,20,,Q24090427,ndl|jmnedict
23,藤井,藤井,フジイ,yes,35,6601,6658,2211,19,藤井氏、または葛井氏（ふじいし、ふじいうじ）は、日本の氏族・苗字の一つ。,Q126596931,person_lists|ndl|jmnedict
73,藤原,藤原,フジハラ,yes,36,6569,6602,2105,17,藤原氏は、日本の氏族。姓（カバネ）は朝臣。略称は藤氏（とうし）。飛鳥時代の藤原鎌足を祖とする神別氏族であり、その子の藤原不比等以降は朝廷の中枢を担った。,Q24090411,person_lists|ndl|wikidata_person|jmnedict
73,藤原,藤原,フジワラ,yes,36,6569,6602,2105,17,藤原氏は、日本の氏族。姓（カバネ）は朝臣。略称は藤氏（とうし）。飛鳥時代の藤原鎌足を祖とする神別氏族であり、その子の藤原不比等以降は朝廷の中枢を担った。,Q24090411,person_lists|ndl|jmnedict
73,藤原,藤原,フジワラノ,yes,36,6569,6602,2105,17,藤原氏は、日本の氏族。姓（カバネ）は朝臣。略称は藤氏（とうし）。飛鳥時代の藤原鎌足を祖とする神別氏族であり、その子の藤原不比等以降は朝廷の中枢を担った。,Q24090411,ndl|jmnedict
22,村上,村上,ムラカミ,yes,37,6568,6592,2136,20,日本の氏族。複数の系統があり、血縁関係にある氏族もあれば、無関係な氏族もある。,Q24090391,person_lists|ndl|jmnedict
48,山崎,山崎,ヤマサキ,yes,38,6385,6435,2328,19,山崎氏は武家・華族だった日本の氏族。宇多源氏佐々木氏の支流と伝わり、片家の代に豊臣秀吉により大名に取り立てられた。,Q24090381,person_lists|ndl|jmnedict
48,山崎,山崎,ヤマザキ,yes,38,6385,6435,2328,19,山崎氏は武家・華族だった日本の氏族。宇多源氏佐々木氏の支流と伝わり、片家の代に豊臣秀吉により大名に取り立てられた。,Q24090381,person_lists|ndl|jmnedict
24,中島,中島,ナカシマ,yes,39,6109,6162,2290,19,中島氏は、日本の氏族のひとつ。,Q24090385,person_lists|ndl|wikidata_person|jmnedict
24,中島,中島,ナカジマ,yes,39,6109,6162,2290,19,中島氏は、日本の氏族のひとつ。,Q24090385,person_lists|ndl|jmnedict
37,小川,小川,オガワ,yes,40,6103,6181,2278,19,小川氏・小河氏は日本の氏族のうちの1つ。佐竹系小川氏 － 常陸佐竹氏6代・佐竹義胤の次男、小川宗義を祖とする、陸奥国磐城郡小川・大子町頃藤の戦国武将。,Q24090388,person_lists|ndl|jmnedict
47,森田,森田,モリタ,yes,41,5962,6000,2229,19,,Q24090416,person_lists|ndl|jmnedict
223,西川,西川,ニシカワ,yes,42,5951,6002,2174,17,,Q24090464,person_lists|ndl|jmnedict
223,西川,西川,サイカワ,yes,42,5951,6002,2174,17,,Q24090464,ndl|wikidata_person|jmnedict
223,西川,西川,ニシガワ,yes,42,5951,6002,2174,17,,Q24090464,ndl|wikidata_person|jmnedict
121,辻,辻,ツジ,yes,43,5950,6003,2231,15,,Q21493238,person_lists|ndl|jmnedict
139,西田,西田,ニシダ,yes,44,5835,5865,2039,19,,Q24090461,person_lists|ndl|wikidata_person|jmnedict
139,西田,西田,ニシタ,yes,44,5835,5865,2039,19,,Q24090461,ndl|wikidata_person|jmnedict
45,近藤,近藤,コンドウ,yes,45,5722,5799,2180,19,近藤氏は、日本の氏族。藤原秀郷の子孫である中世武家の氏族（→藤原秀郷流近藤氏）。藤原利仁の子孫である中世武家の氏族（→藤原利仁流近藤氏）。,Q24090392,person_lists|ndl|jmnedict
137,水谷,水谷,ミズタニ,yes,46,5715,5826,1756,13,水谷氏は、藤原北家秀郷流近藤氏の氏族。日本の戦国時代から江戸時代初期の結城氏の重臣、特に結城四天王として数えられる水谷勝俊の一族がある。,Q24091136,person_lists|ndl|wikidata_person|jmnedict
65,和田,和田,ワダ,yes,47,5687,5710,2099,17,日本の氏族。桓武平氏の流れをくむ三浦氏の庶流。,Q20050883,person_lists|ndl|jmnedict
198,森本,森本,モリモト,yes,48,5571,5625,2142,17,,Q39256882,person_lists|ndl|wikidata_person|jmnedict
177,東,東,アズマ,yes,49,5491,5540,2051,18,,Q23538357,person_lists|ndl|jmnedict
177,東,東,ヒガシ,yes,49,5491,5540,2051,18,,Q23538357,person_lists|ndl|wikidata_person|jmnedict
177,東,東,アヅマ,yes,49,5491,5540,2051,18,,Q23538357,wikidata_person|official_web|jmnedict
177,東,東,トウ,yes,49,5491,5540,2051,18,,Q23538357,ndl|jmnedict
14,佐々木,佐々木,ササキ,yes,50,5459,5495,2157,20,佐々木氏は、日本の氏族。,Q346569,person_lists|ndl|wikidata_person|jmnedict
67,坂本,坂本,サカモト,yes,51,5443,5492,2128,19,,Q21448555,person_lists|ndl|jmnedict
67,坂本,坂本,サカモトノ,no,51,5443,5492,2128,19,,Q21448555,
102,藤本,藤本,フジモト,yes,52,5365,5398,1980,18,,Q24090430,person_lists|ndl|jmnedict
52,村田,村田,ムラタ,yes,53,5298,5345,2046,18,,Q24090431,person_lists|ndl|jmnedict
52,村田,村田,ムラダ,no,53,5298,5345,2046,18,,Q24090431,jmnedict
62,福田,福田,フクタ,yes,54,5283,5309,2058,19,日本の氏族。日本全国に分布している一族である。越中国礪波郡福田村発祥の族は藤原利仁流。播磨国赤穂郡矢野庄福田から起こる族は赤松氏族。肥前国彼杵郡福田村発祥の族は平姓隈氏族。,Q24090402,person_lists|ndl|wikidata_person|jmnedict
62,福田,福田,フクダ,yes,54,5283,5309,2058,19,日本の氏族。日本全国に分布している一族である。越中国礪波郡福田村発祥の族は藤原利仁流。播磨国赤穂郡矢野庄福田から起こる族は赤松氏族。肥前国彼杵郡福田村発祥の族は平姓隈氏族。,Q24090402,person_lists|ndl|wikidata_person|jmnedict
91836,福田,福田,フクダ,no,54,5283,5309,2058,19,,,
58,太田,太田,オオタ,yes,55,5276,5337,2104,19,太田氏は日本の氏族。清和源氏里見氏流太田氏。桓武平氏大掾氏一門東條氏流太田氏。三善姓太田氏。鎌倉幕府問注所執事三善康信の子康連に始まる。,Q26001278,person_lists|ndl|jmnedict
29,長谷川,長谷川,ハセガワ,yes,56,5171,5233,2106,20,日本の氏族。大和国（現在の奈良県）を流れる長谷の泊瀬・初瀬川 (奈良県)を由来とし、この地域を本拠地としていた一族。,Q20050890,person_lists|ndl|wikidata_person|jmnedict
41,後藤,後藤,ゴトウ,yes,57,5069,5124,2034,19,後藤氏は、日本の氏族の一つ。,Q16870261,person_lists|ndl|jmnedict
55,石田,石田,イシタ,yes,58,5054,5077,1957,18,日本の氏族。安土桃山時代に、近江国の土豪から出て豊臣政権下の五奉行の一人となった石田三成の一族が知られる。,Q24090414,person_lists|ndl|jmnedict
55,石田,石田,イシダ,yes,58,5054,5077,1957,18,日本の氏族。安土桃山時代に、近江国の土豪から出て豊臣政権下の五奉行の一人となった石田三成の一族が知られる。,Q24090414,person_lists|ndl|jmnedict
88,杉本,杉本,スギモト,yes,59,5005,5048,2059,18,杉本氏は日本の氏族のひとつ。全国的に見られる姓であるが、山城、河内、加賀、越中、越後、信濃、相模、美作などに多い。,Q24090451,person_lists|ndl|jmnedict
99,宮本,宮本,ミヤモト,yes,60,5001,5023,2002,19,,Q24090423,person_lists|ndl|wikidata_person|jmnedict
89,松井,松井,マツイ,yes,61,4889,4935,1928,17,松井氏は、日本の氏族の一つ。清和源氏為義流の源維義（松井冠者）を祖とする松井氏と、源満政を祖とする松井氏がある。,Q24090438,person_lists|ndl|wikidata_person|jmnedict
53,竹内,竹内,タケウチ,yes,62,4802,4870,1994,19,,Q24090409,person_lists|ndl|jmnedict
53,竹内,竹内,タケノウチ,yes,62,4802,4870,1994,19,,Q24090409,ndl|jmnedict
114,北村,北村,キタムラ,yes,63,4648,4700,1834,19,,Q24090465,person_lists|ndl|jmnedict
122,久保,久保,クボ,yes,64,4601,4632,1928,18,,Q16871598,person_lists|ndl|wikidata_person|jmnedict
195,山中,山中,ヤマナカ,yes,65,4525,4556,1906,17,,Q19963367,person_lists|ndl|jmnedict
101,木下,木下,キノシタ,yes,66,4511,4525,1833,18,木下氏は、武家・華族だった日本の氏族。系譜の異なる諸家があるが、豊臣秀吉およびその妻高台院（北政所）の一族が最も著名。,Q24090446,person_lists|ndl|jmnedict
101,木下,木下,キオロシ,yes,66,4511,4525,1833,18,木下氏は、武家・華族だった日本の氏族。系譜の異なる諸家があるが、豊臣秀吉およびその妻高台院（北政所）の一族が最も著名。,Q24090446,web_person|jmnedict
101,木下,木下,キシタ,yes,66,4511,4525,1833,18,木下氏は、武家・華族だった日本の氏族。系譜の異なる諸家があるが、豊臣秀吉およびその妻高台院（北政所）の一族が最も著名。,Q24090446,ndl|wikidata_person|jmnedict
38,中山,中山,ナカヤマ,yes,67,4443,4477,1984,19,中山氏は、日本の氏族の一つ。,Q6960378,person_lists|ndl|jmnedict
176,中井,中井,ナカイ,yes,68,4369,4426,1772,14,日本の武家・商家。通字は安。,Q24091143,person_lists|ndl|wikidata_person|jmnedict
125,南,南,ミナミ,yes,69,4363,4396,1752,15,佐竹氏の一族。華族の男爵家の一つ。,Q24090532,person_lists|ndl|wikidata_person|jmnedict
125,南,南,ナン,yes,69,4363,4396,1752,15,佐竹氏の一族。華族の男爵家の一つ。,Q24090532,ndl|jmnedict
103,服部,服部,ハットリ,yes,70,4362,4434,1795,17,服部連は、「服部」を連、氏または苗字とする日本の氏族。「はとり」は「はたおり」（機織）の音約であり、元は機織り（服部）を職掌とした品部を指す。,Q24090479,person_lists|ndl|jmnedict
26,石川,石川,イシカワ,yes,71,4283,4315,1863,20,石川氏は、石川を苗字とする一族である。主に、次の5系統の石川氏が存在する。蘇我氏、蘇我連子系、石川氏 桓武平氏、常陸平氏大掾氏流吉田氏一門の石川氏（常陸石川氏）。,Q16871096,person_lists|ndl|jmnedict
26,石川,石川,イシカワノ,no,71,4283,4315,1863,20,石川氏は、石川を苗字とする一族である。主に、次の5系統の石川氏が存在する。蘇我氏、蘇我連子系、石川氏 桓武平氏、常陸平氏大掾氏流吉田氏一門の石川氏（常陸石川氏）。,Q16871096,
26,石川,石川,イシコ,no,71,4283,4315,1863,20,石川氏は、石川を苗字とする一族である。主に、次の5系統の石川氏が存在する。蘇我氏、蘇我連子系、石川氏 桓武平氏、常陸平氏大掾氏流吉田氏一門の石川氏（常陸石川氏）。,Q16871096,jmnedict
64,原田,原田,ハラダ,yes,72,4216,4235,1797,20,原田氏は、日本の氏族の一つ。,Q21496589,person_lists|ndl|jmnedict
129,奥田,奥田,オクダ,yes,73,4204,4232,1829,19,武家だった日本の氏族。清和源氏の足利氏の支流で三管領の一つ斯波氏の庶流にあたる。,Q24090547,person_lists|ndl|wikidata_person|jmnedict
82,宮崎,宮崎,ミヤザキ,yes,74,4092,4129,1751,17,,Q16877253,person_lists|ndl|jmnedict
82,宮崎,宮崎,ミヤサキ,yes,74,4092,4129,1751,17,,Q16877253,ndl|jmnedict
40,青木,青木,アオキ,yes,75,4068,4099,1895,20,青木氏は、日本の氏族。丹党青木氏：武蔵七党の一つ丹党の末裔で武蔵国入間郡青木に興った氏族（→丹党の青木氏（神奴氏・丹治氏））。,Q16479372,person_lists|ndl|jmnedict
51,吉川,吉川,ヨシカワ,yes,76,4019,4036,1787,17,吉川氏は、武家・華族だった日本の氏族。藤原南家の流れをくみ、平安末期に駿河国吉川（吉河）を本貫としたのに始まる。鎌倉時代に安芸国大朝本荘の地頭職を与えられ鎌倉末期に同地に土着。,Q24090470,person_lists|ndl|wikidata_person|jmnedict
51,吉川,吉川,キッカワ,yes,76,4019,4036,1787,17,吉川氏は、武家・華族だった日本の氏族。藤原南家の流れをくみ、平安末期に駿河国吉川（吉河）を本貫としたのに始まる。鎌倉時代に安芸国大朝本荘の地頭職を与えられ鎌倉末期に同地に土着。,Q24090470,ndl|wikidata_person|jmnedict
74,上野,上野,ウエノ,yes,77,4003,4031,1741,20,上野氏は、日本の氏族。本項では清和源氏足利流上野氏について記述する。,Q24090432,person_lists|ndl|wikidata_person|jmnedict
74,上野,上野,カンツケノ,no,77,4003,4031,1741,20,上野氏は、日本の氏族。本項では清和源氏足利流上野氏について記述する。,Q24090432,
179,浜田,浜田,ハマダ,yes,78,3883,3907,1685,17,,Q65560089,person_lists|ndl|wikidata_person|jmnedict
86,斉藤,斉藤,サイトウ,yes,79,3875,3895,1686,18,,Q19896664,person_lists|ndl|wikidata_person|jmnedict
163,川口,川口,カワグチ,yes,80,3832,3870,1763,18,「川口」を称する氏族は各地に存在し、相互の系譜関係が明らかでないものも多い。,Q24090468,person_lists|ndl|jmnedict
117,松岡,松岡,マツオカ,yes,81,3780,3817,1706,20,松岡氏は、中世期の室町・戦国時代の伊勢国の豪族で、北勢四十八家の1つ。北勢地方（現在の三重県桑名市・員弁郡）の上井城主・金井城主・城井戸城主。,Q24090482,person_lists|ndl|jmnedict
132,樋口,樋口,ヒグチ,yes,82,3738,3788,1605,18,樋口氏は、日本の氏族のひとつ。,Q20646033,person_lists|ndl|wikidata_person|jmnedict
93,高田,高田,タカタ,yes,83,3690,3703,1674,18,武家だった日本の氏族。清和源氏（摂津源氏）頼光流の一流で馬場氏の支流。鎌倉時代に上野国甘楽郡菅野荘高田郷（現富岡市、旧高田村）に土着して高田氏と称した。,Q16884187,person_lists|ndl|jmnedict
93,高田,高田,タカダ,yes,83,3690,3703,1674,18,武家だった日本の氏族。清和源氏（摂津源氏）頼光流の一流で馬場氏の支流。鎌倉時代に上野国甘楽郡菅野荘高田郷（現富岡市、旧高田村）に土着して高田氏と称した。,Q16884187,person_lists|ndl|jmnedict
141,増田,増田,マスダ,yes,84,3680,3711,1694,16,,Q24090434,person_lists|ndl|jmnedict
141,増田,増田,マシタ,no,84,3680,3711,1694,16,,Q24090434,jmnedict
215,小西,小西,コニシ,yes,85,3669,3693,1595,13,小西氏は、日本の氏族の一つ。二つの異なる家がある。藤原北家秀郷流を称した藤原氏庶流の小西氏。和泉国を拠点とした。宇多源氏佐々木氏流の小西氏。近江国を拠点とした。,Q24090531,person_lists|ndl|wikidata_person|jmnedict
98,安田,安田,ヤスダ,yes,86,3657,3681,1739,19,なお、大江姓毛利氏の安田氏と桓武平氏の安田氏は、ともに戦国時代の越後国で上杉謙信に仕えたことなどから混同されやすいが、全く別の氏族である。,Q24090466,person_lists|ndl|wikidata_person|jmnedict
128,吉村,吉村,ヨシムラ,yes,87,3622,3636,1637,18,,Q24090475,person_lists|ndl|jmnedict
66,田村,田村,タムラ,yes,88,3560,3579,1673,19,田村氏は、武家・華族の家を出した日本の氏族。坂上田村麻呂の末裔を称するが新羅系という意見もある。田村を称して陸奥国で勢力を伸ばした。,Q16884244,person_lists|ndl|jmnedict
289,前川,前川,マエカワ,yes,89,3464,3517,1597,14,日本の姓・地名・河川・駅名などを指す。,Q21491914,person_lists|ndl|wikidata_person|jmnedict
289,前川,前川,マエガワ,yes,89,3464,3517,1597,14,日本の姓・地名・河川・駅名などを指す。,Q21491914,person_lists|ndl|jmnedict
289,前川,前川,マワガワ,no,89,3464,3517,1597,14,日本の姓・地名・河川・駅名などを指す。,Q21491914,
76,酒井,酒井,サカイ,yes,90,3450,3470,1649,20,酒井氏は、武家・華族だった日本の氏族。三河国の在地領主から、江戸時代には譜代大名となり、老中や大老が選任された。,Q64810764,person_lists|ndl|jmnedict
60,内田,内田,ウチダ,yes,91,3422,3461,1578,18,,Q21450181,person_lists|ndl|jmnedict
60,内田,内田,ウチタ,yes,91,3422,3461,1578,18,,Q21450181,ndl|jmnedict
120,松尾,松尾,マツオ,yes,92,3421,3451,1626,18,,Q24090443,person_lists|ndl|jmnedict
123,原,原,ハラ,yes,93,3403,3425,1619,19,原氏は、日本の氏族の一つ。,Q24090418,person_lists|ndl|wikidata_person|jmnedict
68,河野,河野,カワノ,yes,94,3402,3418,1548,19,三好義長を遠祖とする芥川長明の子芥川季範が河野氏を称する。桓武平氏良文流（秩父平氏）河越氏の流れを汲む河越重家の子孫が河野氏を称する。,Q24090525,person_lists|ndl|jmnedict
68,河野,河野,コウノ,yes,94,3402,3418,1548,19,三好義長を遠祖とする芥川長明の子芥川季範が河野氏を称する。桓武平氏良文流（秩父平氏）河越氏の流れを汲む河越重家の子孫が河野氏を称する。,Q24090525,person_lists|ndl|jmnedict
452,奥野,奥野,オクノ,yes,95,3371,3393,1413,11,,Q26203197,person_lists|ndl|wikidata_person|jmnedict
1459,浜口,浜口,ハマグチ,yes,96,3336,3417,1131,12,,Q26203545,person_lists|ndl|wikidata_person|jmnedict
143,松下,松下,マツシタ,yes,97,3309,3316,1508,15,松下氏は、日本の氏族のひとつ。伊豆国田方郡三津村の系統不詳の氏族。藤原北家利仁流斎藤氏一門で遠江国の都築氏の支流。皇別の橘氏流浪華家の支流。肥前国彼杵郡の系統不詳の氏族。,Q23304435,person_lists|ndl|wikidata_person|jmnedict
240,中尾,中尾,ナカオ,yes,98,3305,3321,1531,15,,Q24090555,person_lists|ndl|jmnedict
210,福井,福井,フクイ,yes,99,3303,3329,1547,17,,Q24090537,person_lists|ndl|wikidata_person|jmnedict
161,北川,北川,キタガワ,yes,100,3300,3344,1551,16,,Q21501872,person_lists|ndl|jmnedict
161,北川,北川,キタカワ,yes,100,3300,3344,1551,16,,Q21501872,ndl|wikidata_person|jmnedict
233,中谷,中谷,ナカタニ,yes,101,3262,3282,1556,13,,Q26157509,person_lists|ndl|jmnedict
233,中谷,中谷,ナカヤ,yes,101,3262,3282,1556,13,,Q26157509,person_lists|ndl|jmnedict
131,平田,平田,ヒラタ,yes,102,3246,3259,1560,20,中原氏流の地下家の官人。代々蔵人所出納を務め、江戸時代には局務押小路家・官務壬生家に次ぐ地下官人の家格を有した。,Q16870797,person_lists|ndl|jmnedict
90,中田,中田,ナカタ,yes,103,3244,3267,1554,16,,Q24090467,person_lists|ndl|jmnedict
90,中田,中田,ナカダ,yes,103,3244,3267,1554,16,,Q24090467,person_lists|ndl|jmnedict
166,高木,高木,タカキ,yes,104,3241,3258,1646,19,清和源氏頼親流と称し、美濃国に発祥し、近世に美濃衆と呼ばれる交代寄合を3家出した氏族。,Q24090425,person_lists|ndl|jmnedict
166,高木,高木,タカギ,yes,104,3241,3258,1646,19,清和源氏頼親流と称し、美濃国に発祥し、近世に美濃衆と呼ばれる交代寄合を3家出した氏族。,Q24090425,person_lists|ndl|jmnedict
78,平野,平野,ヒラノ,yes,105,3203,3218,1598,19,平野氏は、日本の氏族。摂津国住吉郡平野庄（大阪府大阪市平野区平野）を本貫とする一族が多い。,Q24090435,person_lists|ndl|jmnedict
84,今井,今井,イマイ,yes,106,3199,3218,1633,19,,Q23304048,person_lists|ndl|jmnedict
362,尾崎,尾崎,オザキ,yes,107,3193,3212,1511,17,,Q123680956,person_lists|ndl|jmnedict
362,尾崎,尾崎,オサキ,yes,107,3193,3212,1511,17,,Q123680956,person_lists|ndl|jmnedict
135,古川,古川,フルカワ,yes,108,3158,3192,1595,18,古川氏とは、日本の氏族である。戦国時代には、飛騨と陸奥に古川を称する在地勢力が、別々に存在した。,Q24090456,person_lists|ndl|jmnedict
35,石井,石井,イシイ,yes,109,3154,3176,1542,20,桓武平氏高棟王流の公家・華族である。公家としての家格は半家、華族としての家格は子爵家。,Q1673893,person_lists|ndl|wikidata_person|jmnedict
91,野村,野村,ノムラ,yes,110,3138,3155,1547,17,,Q21449594,person_lists|ndl|jmnedict
168,柴田,柴田,シバタ,yes,111,3085,3097,1575,20,柴田氏は、日本の氏族のひとつ。かつては芝田とも表記されることがあった。大伴柴田臣の氏族や柴田勝家ら清和源氏斯波氏の庶流氏族などがある。,Q24090420,person_lists|ndl|jmnedict
