id,original,surface,pronunciation,subject,level,description,image,image_page,wikidata
10,伊勢物語,伊勢物語,イセモノガタリ,国語,中学校,在原業平が主人公とされる歌物語。中学の古典教材として読まれる。,http://commons.wikimedia.org/wiki/Special:FilePath/Shunsho-ise-monogatari.jpg,https://commons.wikimedia.org/wiki/File:Shunsho-ise-monogatari.jpg,Q1539995
11,論語,論語,ロンゴ,国語,中学校,孔子の言葉を集めた漢文の教材。学びて時に之を習うなどを訓読する。,http://commons.wikimedia.org/wiki/Special:FilePath/Analects.JPG,https://commons.wikimedia.org/wiki/File:Analects.JPG,Q276015
12,清少納言,清少納言,セイショウナゴン,国語,中学校,枕草子の作者。中学の古典で紫式部と並べて覚える平安の女性作家。,http://commons.wikimedia.org/wiki/Special:FilePath/Sei_Shonagon2.jpg,https://commons.wikimedia.org/wiki/File:Sei_Shonagon2.jpg,Q231603
13,紫式部,紫式部,ムラサキシキブ,国語/社会,中学校,源氏物語の作者。中学の古典で平安時代を代表する作家として学ぶ。,http://commons.wikimedia.org/wiki/Special:FilePath/Tosa_Mitsuoki_001.jpg,https://commons.wikimedia.org/wiki/File:Tosa_Mitsuoki_001.jpg,Q81731
14,鴨長明,鴨長明,カモノチョウメイ,国語,中学校,方丈記を書いた鎌倉時代の随筆家。中学の古典で作者名を覚える。,http://commons.wikimedia.org/wiki/Special:FilePath/Kamo_no_Chomei.jpg,https://commons.wikimedia.org/wiki/File:Kamo_no_Chomei.jpg,Q291329
15,兼好法師,兼好法師,ケンコウホウシ,国語,中学校,徒然草の作者。中学の古典で三大随筆の一つの書き手として学ぶ。,http://commons.wikimedia.org/wiki/Special:FilePath/Yoshida_Kenko.jpg,https://commons.wikimedia.org/wiki/File:Yoshida_Kenko.jpg,Q372772
16,紀貫之,紀貫之,キノツラユキ,国語,中学校,古今和歌集の編者で土佐日記の作者。中学の古典に登場する歌人。,http://commons.wikimedia.org/wiki/Special:FilePath/Ki_no_Tsurayuki.jpg,https://commons.wikimedia.org/wiki/File:Ki_no_Tsurayuki.jpg,Q468288
17,松尾芭蕉,松尾芭蕉,マツオバショウ,国語,中学校,江戸時代の俳人でおくのほそ道の作者。中学の俳句の学習で必ず出る。,http://commons.wikimedia.org/wiki/Special:FilePath/Basho_by_Morikawa_Kyoriku_%281656-1715%29.jpg,https://commons.wikimedia.org/wiki/File:Basho_by_Morikawa_Kyoriku_%281656-1715%29.jpg,Q5676
18,歴史的仮名遣い,歴史的仮名遣い,レキシテキカナヅカイ,国語,中学校,古文特有の仮名の書き方。中学でけふをきょうと読む練習をする。,http://commons.wikimedia.org/wiki/Special:FilePath/Ochanomizu_%E6%97%A7%E9%A7%85%E5%90%8D%E6%A8%99.jpg,https://commons.wikimedia.org/wiki/File:Ochanomizu_%E6%97%A7%E9%A7%85%E5%90%8D%E6%A8%99.jpg,Q1142552
19,係り結び,係り結び,カカリムスビ,国語,中学校,古文の決まりでぞやなむこそがあると文末の活用形が変わること。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_0b6a2cd502.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
20,和歌,和歌,ワカ,国語,中学校,五七五七七の定型詩。中学の古典で万葉集や古今和歌集を読む時に学ぶ。,http://commons.wikimedia.org/wiki/Special:FilePath/Hyakuninisshu_001.jpg,https://commons.wikimedia.org/wiki/File:Hyakuninisshu_001.jpg,Q1145042
21,短歌,短歌,タンカ,国語,小学校/中学校,五七五七七の三十一音からなる詩。中学国語で鑑賞し自分でも作る。,http://commons.wikimedia.org/wiki/Special:FilePath/Hyakuninisshu_001.jpg,https://commons.wikimedia.org/wiki/File:Hyakuninisshu_001.jpg,Q1145042
22,俳句,俳句,ハイク,国語,小学校/中学校,五七五の十七音の定型詩。季語と切れ字を学び小中で実作もする。,http://commons.wikimedia.org/wiki/Special:FilePath/A_little_cuckoo_across_a_hydrangea%28Haiga%29_by_Yosa_Buson.jpg,https://commons.wikimedia.org/wiki/File:A_little_cuckoo_across_a_hydrangea%28Haiga%29_by_Yosa_Buson.jpg,Q37707
23,季語,季語,キゴ,国語,小学校/中学校,俳句に詠み込む季節を表す言葉。中学で歳時記を使って探す活動をする。,http://commons.wikimedia.org/wiki/Special:FilePath/Cherry_tree_blossoms.jpg,https://commons.wikimedia.org/wiki/File:Cherry_tree_blossoms.jpg,Q1085881
24,切れ字,切れ字,キレジ,国語,中学校,俳句のやかなけりなど句の切れ目を示す語。中学の俳句の学習で覚える。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_fee0134a5c.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
25,枕詞,枕詞,マクラコトバ,国語,中学校,和歌で特定の語を導く五音の言葉。ちはやぶるなどを中学で学ぶ。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_012d33e770.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
26,体言止め,体言止め,タイゲンドメ,国語,中学校,文末を名詞で終える表現技法。詩や短歌の鑑賞で中学生が学ぶ。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_d02a89e527.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
27,五段活用,五段活用,ゴダンカツヨウ,国語,中学校,書くなど動詞の活用の種類の一つ。中学の文法でナイをつけて見分ける。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_838f270038.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
28,上一段活用,上一段活用,カミイチダンカツヨウ,国語,中学校,見るなど動詞の活用の一種。中学の文法で活用の種類として習う。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_13afd1321c.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
29,下一段活用,下一段活用,シモイチダンカツヨウ,国語,中学校,食べるなど動詞の活用の一種。中学の文法で見分け方を練習する。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_49156a2884.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
30,カ行変格活用,カ行変格活用,カギョウヘンカクカツヨウ,国語,中学校,来るだけが当てはまる動詞の活用。中学の文法で特別な活用として習う。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_7c1c0c8611.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
31,サ行変格活用,サ行変格活用,サギョウヘンカクカツヨウ,国語,中学校,するとずるが当てはまる動詞の活用。中学の文法で覚える特別な型。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_aad5c4321a.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
32,連体形,連体形,レンタイケイ,国語,中学校,体言に続く時の活用形。中学の文法で活用表の並びとして暗記する。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_55a2477c63.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
33,未然形,未然形,ミゼンケイ,国語,中学校,ないやうに続く活用形。中学の文法で活用表の最初に覚える形。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_bf893205c7.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
34,主語,主語,シュゴ,国語/英語,小学校,誰がや何がに当たる文の成分。小学校の国語で述語と対にして学ぶ。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_c53b797895.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
35,述語,述語,ジュツゴ,国語/英語,小学校,どうするやどんなだに当たる文の成分。小学校で主語と共に学ぶ。,http://commons.wikimedia.org/wiki/Special:FilePath/Predicate_tree_1.png,https://commons.wikimedia.org/wiki/File:Predicate_tree_1.png,Q179080
36,修飾語,修飾語,シュウショクゴ,国語/英語,小学校,他の言葉を詳しく説明する文の成分。小学校の文の組み立てで習う。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_8f72842aab.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
37,助動詞,助動詞,ジョドウシ,国語/英語,中学校,れるやらしいなど活用する付属語。中学の文法で意味を見分ける。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_f10b0b33dc.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
38,助詞,助詞,ジョシ,国語,中学校,がやのなど活用しない付属語。中学の文法で働きごとに分類する。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_c33c34f3e9.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
39,形容動詞,形容動詞,ケイヨウドウシ,国語,中学校,静かだのように言い切りがだで終わる語。中学の文法で品詞として習う。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_46071240dd.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
40,連体詞,連体詞,レンタイシ,国語,中学校,この大きななど体言だけを修飾する品詞。中学の文法で覚える品詞。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_f040d5d714.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
41,接続詞,接続詞,セツゾクシ,国語/英語,小学校/中学校,しかしやだからなど文をつなぐ品詞。小中で文章の展開を読む時に学ぶ。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_d675bb3022.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
42,感動詞,感動詞,カンドウシ,国語,中学校,ああやもしもしなど感動や呼びかけを表す品詞。中学の文法で習う。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_b69b3310b0.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
43,尊敬語,尊敬語,ソンケイゴ,国語,小学校/中学校,相手の動作を高めて言う敬語。中学で謙譲語や丁寧語と区別して学ぶ。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_59992c48c4.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
44,謙譲語,謙譲語,ケンジョウゴ,国語,小学校/中学校,自分をへりくだって言う敬語。中学の敬語の単元で使い分けを練習する。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_153ee8634b.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
45,丁寧語,丁寧語,テイネイゴ,国語,小学校/中学校,ですやますで丁寧に述べる敬語。小中で敬語の三種類として学ぶ。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_73d9f4d5d5.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
46,音読み,音読み,オンヨミ,国語,小学校,漢字の中国風の読み方。小学校で訓読みと対にして学ぶ読み分け。,http://commons.wikimedia.org/wiki/Special:FilePath/Chinese_characters_logo.svg,https://commons.wikimedia.org/wiki/File:Chinese_characters_logo.svg,Q718498
47,訓読み,訓読み,クンヨミ,国語,小学校,漢字を日本語の意味で読む読み方。小学校で音読みと区別して習う。,http://commons.wikimedia.org/wiki/Special:FilePath/Chinese_characters_logo.svg,https://commons.wikimedia.org/wiki/File:Chinese_characters_logo.svg,Q1147749
48,送り仮名,送り仮名,オクリガナ,国語,小学校,漢字のあとに付ける仮名。小学校で正しい付け方をテストで問われる。,http://commons.wikimedia.org/wiki/Special:FilePath/Okurigana.svg,https://commons.wikimedia.org/wiki/File:Okurigana.svg,Q1335954
49,部首,部首,ブシュ,国語,小学校,漢字を分類するさんずいなどの部分。小学校で漢字辞典を引く時に使う。,http://commons.wikimedia.org/wiki/Special:FilePath/Chinese_characters_logo.svg,https://commons.wikimedia.org/wiki/File:Chinese_characters_logo.svg,Q849778
50,楷書,楷書,カイショ,国語,小学校/中学校,一画ずつ整えて書く書体。小中の書写でまず練習する基本の書き方。,http://commons.wikimedia.org/wiki/Special:FilePath/KaishuOuyangxun.jpg,https://commons.wikimedia.org/wiki/File:KaishuOuyangxun.jpg,Q1196029
51,行書,行書,ギョウショ,国語,中学校,点画を続けて書く書体。中学の書写で楷書との違いを学んで練習する。,http://commons.wikimedia.org/wiki/Special:FilePath/Calligraphy_of_Nobuyuki_Abe.jpg,https://commons.wikimedia.org/wiki/File:Calligraphy_of_Nobuyuki_Abe.jpg,Q1367992
52,原稿用紙,原稿用紙,ゲンコウヨウシ,国語,小学校,作文を書くマス目の用紙。小学校で句読点の書き方も一緒に習う。,http://commons.wikimedia.org/wiki/Special:FilePath/Squared_manuscript_paper.pdf,https://commons.wikimedia.org/wiki/File:Squared_manuscript_paper.pdf,Q1185703
53,対義語,対義語,タイギゴ,国語,小学校,大きいと小さいのように意味が反対の言葉。小学校の語彙学習で習う。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_9859b4dad6.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
54,類義語,類義語,ルイギゴ,国語,小学校,意味がよく似ている言葉の組。小学校で辞書を使って探す活動をする。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_51c8e6bc94.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
55,擬音語,擬音語,ギオンゴ,国語,小学校,ざあざあなど音をまねた言葉。詩や物語の表現として小学校で学ぶ。,http://commons.wikimedia.org/wiki/Special:FilePath/Jaan%21_in_Hakui.jpg,https://commons.wikimedia.org/wiki/File:Jaan%21_in_Hakui.jpg,Q170239
56,擬態語,擬態語,ギタイゴ,国語,小学校,きらきらなど様子を表す言葉。詩の表現の工夫として小学校で学ぶ。,http://commons.wikimedia.org/wiki/Special:FilePath/Jaan%21_in_Hakui.jpg,https://commons.wikimedia.org/wiki/File:Jaan%21_in_Hakui.jpg,Q170239
57,比喩,比喩,ヒユ,国語,小学校/中学校,ようだなどを使ったたとえの表現。詩や物語の鑑賞で小中を通じて学ぶ。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_23f0f2f85b.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
58,擬人法,擬人法,ギジンホウ,国語,中学校,人でないものを人のように表す技法。詩の表現技法として中学で習う。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_a68911389a.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
59,倒置法,倒置法,トウチホウ,国語,中学校,語順を入れかえて印象を強める技法。詩や短歌の鑑賞で中学が学ぶ。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_633b69050b.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
60,反復法,反復法,ハンプクホウ,国語,中学校,同じ言葉を繰り返す表現技法。詩の学習で他の技法と共に覚える。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_26898b45de.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
61,対句,対句,ツイク,国語,中学校,似た組み立ての句を並べる技法。漢詩や平家物語の学習で登場する。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_3a9d5cb26f.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
62,起承転結,起承転結,キショウテンケツ,国語,小学校,文章の四つの構成。作文や物語の組み立てを考える時に習う。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_279cc6769d.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
63,五言絶句,五言絶句,ゴゴンゼック,国語,中学校,一句五字で四句からなる漢詩の形式。中学の漢文で形式として習う。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_910158b914.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
64,七言律詩,七言律詩,シチゴンリッシ,国語,中学校,一句七字で八句からなる漢詩の形式。中学の漢文の学習で覚える。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_0986e3c2e6.svg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
65,返り点,返り点,カエリテン,国語,中学校,漢文を日本語の順で読むための記号。中学の漢文で付け方を練習する。,http://commons.wikimedia.org/wiki/Special:FilePath/%EA%B0%80%EC%97%90%EB%A6%AC%ED%85%90.gif,https://commons.wikimedia.org/wiki/File:%EA%B0%80%EC%97%90%EB%A6%AC%ED%85%90.gif,Q7901319
66,レ点,レ点,レテン,国語,中学校,すぐ上の字に返って読むことを示す返り点。中学の漢文で最初に習う記号。,http://commons.wikimedia.org/wiki/Special:FilePath/%EA%B0%80%EC%97%90%EB%A6%AC%ED%85%90.gif,https://commons.wikimedia.org/wiki/File:%EA%B0%80%EC%97%90%EB%A6%AC%ED%85%90.gif,Q7901319
67,一二点,一二点,イチニテン,国語,中学校,二字以上返って読む時に使う返り点。中学の漢文で読む順序を練習する。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_4ec62ed375.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
68,書き下し文,書き下し文,カキクダシブン,国語,中学校,漢文を日本語の語順で仮名交じりに直した文。中学の漢文で書く。,http://commons.wikimedia.org/wiki/Special:FilePath/%EA%B0%80%EC%97%90%EB%A6%AC%ED%85%90.gif,https://commons.wikimedia.org/wiki/File:%EA%B0%80%EC%97%90%EB%A6%AC%ED%85%90.gif,Q7901319
69,漢詩,漢詩,カンシ,国語,中学校,中国の詩。中学の国語で春眠暁を覚えずなどを訓読して味わう。,http://commons.wikimedia.org/wiki/Special:FilePath/Wang_Chong_-_Poetry.jpg,https://commons.wikimedia.org/wiki/File:Wang_Chong_-_Poetry.jpg,Q1759242
70,走れメロス,走れメロス,ハシレメロス,国語,中学校,太宰治の小説で中学二年の定番教材。友情と信実を読み取る。,http://commons.wikimedia.org/wiki/Special:FilePath/Osamu_Dazai.jpg,https://commons.wikimedia.org/wiki/File:Osamu_Dazai.jpg,Q317685
71,ごんぎつね,ごんぎつね,ゴンギツネ,国語,小学校,新美南吉の童話で小学四年の定番教材。ごんと兵十の心情を読む。,http://commons.wikimedia.org/wiki/Special:FilePath/Nobu3withfoxy_IMG_1162_%2821867475689%29.jpg,https://commons.wikimedia.org/wiki/File:Nobu3withfoxy_IMG_1162_%2821867475689%29.jpg,Q3110493
72,少年の日の思い出,少年の日の思い出,ショウネンノヒノオモイデ,国語,中学校,ヘッセの小説で中学一年の定番教材。ちょうを巡る後悔を読む。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_22628d8396.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
73,大造じいさんとガン,大造じいさんとガン,ダイゾウジイサントガン,国語,小学校,椋鳩十の物語で小学五年の定番教材。残雪との戦いを読む。,http://commons.wikimedia.org/wiki/Special:FilePath/White-fronted.goose.750pix.jpg,https://commons.wikimedia.org/wiki/File:White-fronted.goose.750pix.jpg,Q172093
74,スイミー,スイミー,スイミー,国語,小学校,レオレオニの絵本で小学二年の教材。小さな魚が力を合わせる話。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_9a413d7515.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
75,おおきなかぶ,おおきなかぶ,オオキナカブ,国語,小学校,小学一年の教材のロシア民話。うんとこしょの繰り返しを音読する。,http://commons.wikimedia.org/wiki/Special:FilePath/The_Giant_Turnip.jpg,https://commons.wikimedia.org/wiki/File:The_Giant_Turnip.jpg,Q2068935
76,くじらぐも,くじらぐも,クジラグモ,国語,小学校,小学一年の教材の物語。雲のくじらに乗る場面を音読して楽しむ。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_311f0596a5.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
77,ちいちゃんのかげおくり,ちいちゃんのかげおくり,チイチャンノカゲオクリ,国語,小学校,あまんきみこの物語で小学三年の教材。戦争と家族を読む。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1/gk_230687c952.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1,
78,一つの花,一つの花,ヒトツノハナ,国語,小学校,今西祐行の物語で小学四年の定番教材。戦時下の親子の願いを読む。,http://commons.wikimedia.org/wiki/Special:FilePath/Cosmos_Kinchakuda_3.JPG,https://commons.wikimedia.org/wiki/File:Cosmos_Kinchakuda_3.JPG,Q476937
79,モチモチの木,モチモチの木,モチモチノキ,国語,小学校,斎藤隆介の物語で小学三年の教材。豆太の勇気の変化を読む。,https://github.com/soramimic/soramimic-wordlists/releases/download/gimukyoiku-image-v1b/gk_eb0497cb05.jpg,https://github.com/soramimic/soramimic-wordlists/releases/tag/gimukyoiku-image-v1b,
80,注文の多い料理店,注文の多い料理店,チュウモンノオオイリョウリテン,国語,小学校,宮沢賢治の童話で小学校高学年の教材。皮肉な結末を読む。,http://commons.wikimedia.org/wiki/Special:FilePath/%E8%A5%BF%E6%B4%8B%E6%96%99%E7%90%86%E5%BA%97_%E5%B1%B1%E7%8C%AB%E8%BB%92_-_%E5%A4%A7%E5%9C%B0%E3%81%AE%E8%8A%B8%E8%A1%93%E7%A5%AD%E3%81%AE%E9%87%8C_%E7%99%BD%E4%BA%95%E7%BE%8E%E7%A9%82_%28283698513%29.jpg,https://commons.wikimedia.org/wiki/File:%E8%A5%BF%E6%B4%8B%E6%96%99%E7%90%86%E5%BA%97_%E5%B1%B1%E7%8C%AB%E8%BB%92_-_%E5%A4%A7%E5%9C%B0%E3%81%AE%E8%8A%B8%E8%A1%93%E7%A5%AD%E3%81%AE%E9%87%8C_%E7%99%BD%E4%BA%95%E7%BE%8E%E7%A9%82_%28283698513%29.jpg,Q11555685
81,やまなし,やまなし,ヤマナシ,国語,小学校,宮沢賢治の作品で小学六年の教材。クラムボンという言葉が有名。,http://commons.wikimedia.org/wiki/Special:FilePath/Miyazawa_Kenji.jpg,https://commons.wikimedia.org/wiki/File:Miyazawa_Kenji.jpg,Q55993
82,故郷,故郷,コキョウ,国語,中学校,魯迅の小説で中学三年の定番教材。ルントウとの再会と隔たりを読む。,http://commons.wikimedia.org/wiki/Special:FilePath/LuXun1930.jpg,https://commons.wikimedia.org/wiki/File:LuXun1930.jpg,Q23114
83,蜘蛛の糸,蜘蛛の糸,クモノイト,国語,中学校,芥川龍之介の短編。中学の読書教材として広く読まれている作品。,http://commons.wikimedia.org/wiki/Special:FilePath/AkutagawaRyunosuke.jpg,https://commons.wikimedia.org/wiki/File:AkutagawaRyunosuke.jpg,Q186326
84,雨ニモマケズ,雨ニモマケズ,アメニモマケズ,国語,小学校/中学校,宮沢賢治の詩。小中の国語で音読や暗唱をする有名な作品。,http://commons.wikimedia.org/wiki/Special:FilePath/Ame_ni_mo_makezu_poem_in_Miyazawa_Kenji%27s_pocket_notebook.jpg,https://commons.wikimedia.org/wiki/File:Ame_ni_mo_makezu_poem_in_Miyazawa_Kenji%27s_pocket_notebook.jpg,Q460515
